Date;Price;Open;High;Low;Vol;ChangePercent
2022-07-12;1975.0;1965.3;1975.0;1922.0;9.64M;0.49
2022-07-11;1965.3;1988.0;1988.0;1940.2;2.92M;-1.14
2022-07-08;1988.0;2045.0;2045.0;1983.0;2.52M;-1.78
2022-07-07;2024.0;2040.0;2040.0;2000.0;3.68M;-0.64
2022-07-06;2037.0;2042.0;2050.0;2014.8;2.75M;-1.07
2022-07-05;2059.0;2052.2;2059.9;2025.0;2.46M;0.02
2022-07-04;2058.5;2028.0;2090.0;2028.0;524.89K;-1.51
2022-07-01;2090.0;2140.0;2145.0;2085.0;1.19M;-2.79
2022-06-30;2150.0;2100.0;2150.0;2061.3;3.82M;1.42
2022-06-29;2120.0;2063.0;2148.0;2063.0;1.32M;0.49
2022-06-28;2109.6;2081.0;2186.0;2036.0;1.29M;1.67
2022-06-24;2075.0;2035.0;2175.0;2035.0;1.02M;0.48
2022-06-23;2065.0;2079.0;2079.0;1975.0;3.44M;1.42
2022-06-22;2036.1;2044.5;2105.0;2000.1;2.05M;-0.47
2022-06-21;2045.8;2045.8;2045.8;2045.8;;0.0
2022-06-20;2045.8;2030.3;2070.0;1990.0;1.50M;0.28
2022-06-17;2040.1;2059.9;2100.0;2015.4;3.99M;-0.48
2022-06-16;2050.0;2107.9;2107.9;2010.9;982.07K;-2.84
2022-06-15;2110.0;2105.1;2134.0;2069.9;2.30M;0.48
2022-06-14;2100.0;2143.9;2176.0;2089.9;1.99M;-2.05
2022-06-13;2144.0;2155.0;2169.0;2055.1;1.97M;-0.05
2022-06-10;2145.0;2155.0;2155.0;2095.0;1.17M;-0.64
2022-06-09;2158.8;2220.0;2234.4;2154.9;3.14M;-2.76
2022-06-08;2220.0;2283.1;2284.2;2210.1;2.30M;-3.01
2022-06-07;2289.0;2299.9;2306.9;2280.0;1.49M;-0.48
2022-06-06;2300.0;2369.0;2369.0;2280.1;1.28M;-2.91
2022-06-03;2369.0;2301.0;2369.0;2301.0;1.01M;2.11
2022-06-02;2320.0;2387.0;2387.0;2200.0;1.81M;-2.89
2022-06-01;2389.0;2412.0;2412.0;2325.1;2.12M;-0.95
2022-05-31;2412.0;2307.1;2412.0;2282.0;5.09M;3.52
2022-05-30;2330.0;2292.0;2345.0;2285.7;690.90K;1.61
2022-05-27;2293.0;2285.0;2297.1;2245.0;2.76M;0.57
2022-05-26;2280.0;2250.0;2289.0;2203.0;4.98M;1.33
2022-05-25;2250.0;2255.1;2285.0;2228.0;5.74M;-1.53
2022-05-24;2285.0;2309.0;2309.8;2250.1;2.77M;-1.08
2022-05-23;2310.0;2237.4;2315.0;2205.0;2.75M;2.21
2022-05-20;2260.0;2256.2;2290.0;2145.0;3.79M;-0.83
2022-05-19;2279.0;2309.8;2359.0;2242.0;2.07M;-0.96
2022-05-18;2301.0;2384.0;2390.0;2321.2;1.80M;-3.52
2022-05-17;2384.9;2300.1;2384.9;2300.1;2.69M;3.69
2022-05-16;2300.0;2270.2;2350.0;2270.1;3.31M;-0.69
2022-05-13;2316.0;2290.0;2329.4;2250.1;7.38M;0.7
2022-05-12;2300.0;2145.0;2300.0;2051.1;6.47M;7.23
