,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
131,PRIMERA,  SILVA,  MAGGI EGNEM CHEVESICH   ,MAGGI EGNEM CHEVESICH ,2018-02-14 00:00:00,, ,MAGGI,EGNEM,CHEVESICH,,feriado,,,
136,PRIMERA,  SILVA,  MAGGI EGNEM CHEVESICH   ,MAGGI EGNEM CHEVESICH ,2018-02-15 00:00:00,, ,MAGGI,EGNEM,CHEVESICH,,feriado,,,
146,PRIMERA,  SILVA,  EGNEM CHEVESICH MINISTRO SUPLENTE  MIRANDA,EGNEM CHEVESICH MINISTRO SUPLENTE MIRANDA ,2018-02-19 00:00:00,SUPLENTE SEÑOR MIRANDA,  ,EGNEM,CHEVESICH,MINISTRO,SUPLENTE,feriado,,,
153,PRIMERA,  SILVAA,  EGNEM CHEVESICH MINIISTRO SUPLENTE  BIEL,EGNEM CHEVESICH MINIISTRO SUPLENTE BIEL ,2018-02-20 00:00:00,SUPLENTE SEÑOR BIEL,  ,EGNEM,CHEVESICH,MINIISTRO,SUPLENTE,feriado,,,
161,PRIMERA,  SILVA, SUPLENTE  BIEL,SUPLENTE BIEL ,2018-02-21 00:00:00,SUPLENTE SEÑOR BIEL,  ,SUPLENTE,BIEL,,,feriado,,,
170,PRIMERA,  SILVA,  EGNEM CHEVESICH  PRADO,EGNEM CHEVESICH PRADO MATUS,2018-02-22 00:00:00,PRADO,   MATUS,EGNEM,CHEVESICH,PRADO,MATUS,feriado,,,
188,PRIMERA,  SILVA,  EGNEM  FUENTES  MINISTRO SUPLENTE  BIEL,EGNEM FUENTES MINISTRO SUPLENTE BIEL ,2018-02-26 00:00:00,SUPLENTE SEÑOR BIEL,  ,EGNEM,FUENTES,MINISTRO,SUPLENTE,permiso,feriado,,
199,PRIMERA,  SILVA,  EGNEM  FUENTES  MINISTRO SUPLENTE  MUNOZ .,EGNEM FUENTES MINISTRO SUPLENTE MUNOZ . ,2018-02-27 00:00:00,SUPLENTE SEÑOR MUNOZ P.,  ,EGNEM,FUENTES,MINISTRO,SUPLENTE,permiso,feriado,,
211,PRIMERA,  SIL V A,  EGNEM  FUENTES RA ,EGNEM FUENTES RA ,2018-02-28 00:00:00,, ,EGNEM,FUENTES,RA,,feriado,,,
235,PRIMERA,  SILVA,  MAGGI CHEVESICH MINISTRO SUPLENTE  BIEL,MAGGI CHEVESICH MINISTRO SUPLENTE BIEL ,2018-02-08 00:00:00,SUPLENTE SEÑOR BIEL,  ,MAGGI,CHEVESICH,MINISTRO,SUPLENTE,feriado,,,
249,PRIMERA,  SILVA,  MAGGI CHEVESICH MINISTRO SUPLENTE  BIEL,MAGGI CHEVESICH MINISTRO SUPLENTE BIEL ,2018-02-07 00:00:00,SUPLENTE SEÑOR BIEL,  ,MAGGI,CHEVESICH,MINISTRO,SUPLENTE,feriado,,,
264,PRIMERA,  SILVA,  MAGGI CHEVESICH MMINISTRO SUPLENTE  BIEL,MAGGI CHEVESICH MMINISTRO SUPLENTE BIEL ,2018-02-06 00:00:00,SUPLENTE SEÑOR BIEL,  ,MAGGI,CHEVESICH,MMINISTRO,SUPLENTE,feriado,,,
280,PRIMERA,  SILVA,  MAGGI CHEVESICH MMINISTRO SUPLENTE  BIEL,MAGGI CHEVESICH MMINISTRO SUPLENTE BIEL ,2018-02-05 00:00:00,SUPLENTE SEÑOR BIEL,  ,MAGGI,CHEVESICH,MMINISTRO,SUPLENTE,comisión,permiso,feriado,
312,PRIMERA,  SILVA,  MAGGI CHEVESICH MINISTRO SUPLENTE  BIEL,MAGGI CHEVESICH MINISTRO SUPLENTE BIEL ,2018-02-01 00:00:00,SUPLENTE SEÑOR BIEL,  ,MAGGI,CHEVESICH,MINISTRO,SUPLENTE,comisión,permiso,feriado,
315,PRIMERA,  CARRENO,  SILVA  EGNEM   ,SILVA EGNEM  PEÑAILILLO BARRA ,2018-03-12 00:00:00,,  PEÑAILILLO  BARRA ,SILVA,EGNEM,,PEÑAILILLO,comisión,permiso,,
317,PRIMERA,  CARREÑO,  SILVA SEEÑORRA EGNEM  FUENTES ,SILVA SEEÑORRA EGNEM FUENTES PEÑAILILLO,2018-03-13 00:00:00,,   PEÑAILILLO,SILVA,SEEÑORRA,EGNEM,FUENTES,comisión,,,
322,PRIMERA,  CARREÑO,  SILVA  EGNEM  FUENTES ,SILVA EGNEM FUENTES PEÑAILILLO,2018-03-14 00:00:00,,   PEÑAILILLO,SILVA,EGNEM,FUENTES,PEÑAILILLO,comisión,,,
324,PRIMERA,  CARREÑO,  SILVA  EGNEM  FUENTES ,SILVA EGNEM FUENTES MUNITA,2018-03-15 00:00:00,,   MUNITA,SILVA,EGNEM,FUENTES,MUNITA,comisión,,,
331,PRIMERA,  CARRENO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-03-19 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
335,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-03-20 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
340,PRIMERA,  CARREÑO,  SILVA  MAGGHI  FUENTES ,SILVA MAGGHI FUENTES MUNITA,2018-03-22 00:00:00,,   MUNITA,SILVA,MAGGHI,FUENTES,MUNITA,permiso,,,
351,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM  SEOR ,SILVA MAGGI EGNEM SEOR ,2018-03-26 00:00:00,, ,SILVA,MAGGI,EGNEM,SEOR,,,,
357,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM ,2018-03-27 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,,,,
365,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM MUNITA,2018-03-28 00:00:00,,   MUNITA,SILVA,SEEÑORAS,MAGGI,EGNEM,permiso,,,
382,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM MUNITA,2018-03-08 00:00:00,,   MUNITA,SILVA,MAGGI,EGNEM,MUNITA,,,,
389,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM SEEÑOR ,SILVA MAGGI EGNEM SEEÑOR ,2018-03-07 00:00:00,, ,SILVA,MAGGI,EGNEM,SEEÑOR,,,,
399,PRIMERA,,  MUÑOZ  CERDA PRADO   ,MUÑOZ CERDA PRADO MUNITA,2018-03-06 00:00:00,,   MUNITA,MUÑOZ,CERDA,PRADO,MUNITA,,,,
410,PRIMERA,  CARREÑO,  SILVA SEEÑORA EGNEM  FUENTES ,SILVA SEEÑORA EGNEM FUENTES MUNITA,2018-03-05 00:00:00,,   MUNITA,SILVA,SEEÑORA,EGNEM,FUENTES,comisión,,,
428,PRIMERA,  SILVA,  MAGGI EGNEM SEOR FUENTES  ,MAGGI EGNEM SEOR FUENTES ,2018-03-01 00:00:00,, ,MAGGI,EGNEM,SEOR,FUENTES,feriado,,,
430,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM MUNITA,2018-04-10 00:00:00,,   MUNITA,SILVA,MAGGI,EGNEM,MUNITA,subroga,,,
433,PRIMERA,  CARREÑO,  SILVA SEEÑORA EGNEM  FUENTES ,SILVA SEEÑORA EGNEM FUENTES ABUAUAD,2018-04-11 00:00:00,,   ABUAUAD,SILVA,SEEÑORA,EGNEM,FUENTES,comisión,,,
437,PRIMERA,  CARREÑO,  SILVA  EGNEM  FUENTES ,SILVA EGNEM FUENTES GOMEZ,2018-04-12 00:00:00,,   GOMEZ,SILVA,EGNEM,FUENTES,GOMEZ,,,,
441,PRIMERA,  CARREÑO,  SILVA AS MAGGI EGNEM   ,SILVA AS MAGGI EGNEM ,2018-04-16 00:00:00,, ,SILVA,AS,MAGGI,EGNEM,,,,
445,PRIMERA,  CARREÑO,  MAGGI EGNEM  FUENTES   ,MAGGI EGNEM FUENTES PEÑAILILLO,2018-04-17 00:00:00,,   PEÑAILILLO,MAGGI,EGNEM,FUENTES,PEÑAILILLO,comisión,,,
451,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM PEÑAILILLO,2018-04-18 00:00:00,,   PEÑAILILLO,SILVA,SEEÑORAS,MAGGI,EGNEM,permiso,,,
457,PRIMERA,  CARRENO,  SILVA  MAGGI  LOOS ABOGADOS ,SILVA MAGGI LOOS ABOGADOS BARRA SEEÑORA GAJARDO ,2018-04-19 00:00:00,,  BARRA  SEEÑORA GAJARDO ,SILVA,MAGGI,LOOS,ABOGADOS,permiso,,,
469,PRIMERA,  CARREÑO,  SILVA RAS MAGGI EGNEM   ,SILVA RAS MAGGI EGNEM ,2018-04-23 00:00:00,, ,SILVA,RAS,MAGGI,EGNEM,,,,
476,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-04-24 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
483,PRIMERA,  CARREÑO,  SILVA SEEÑORA EGNEM  FUENTES ,SILVA SEEÑORA EGNEM FUENTES PIERRY ,2018-04-25 00:00:00,,   PIERRY ,SILVA,SEEÑORA,EGNEM,FUENTES,permiso,,,
489,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-04-26 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
504,PRIMERA,  SILVA,  EGNEM  FUENTES   ,EGNEM FUENTES  MATUS GOMEZ ,2018-04-30 00:00:00,,  MATUS  GOMEZ ,EGNEM,FUENTES,,MATUS,permiso,,,
516,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM  ,SILVA MAGGI EGNEM ,2018-04-09 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
531,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM GOMEZ,2018-04-05 00:00:00,,   GOMEZ,SILVA,SEEÑORAS,MAGGI,EGNEM,subroga,,,
540,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-04-04 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
551,PRIMERA,  CARRENO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-04-03 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
564,PRIMERA,  SILVA,  MAGGI EGNEM   ,MAGGI EGNEM  PEÑAILILLO GAJARDO ,2018-04-02 00:00:00,,  PEÑAILILLO   GAJARDO ,MAGGI,EGNEM,,PEÑAILILLO,permiso,subroga,,
567,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM  ,SILVA SEEÑORAS MAGGI EGNEM ,2018-05-10 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,subroga,,,
570,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM ,2018-05-14 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,,,,
573,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM ,2018-05-15 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,,,,
577,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM MUNITA,2018-05-16 00:00:00,,   MUNITA,SILVA,SEEÑORAS,MAGGI,EGNEM,subroga,,,
582,PRIMERA,  CARRENO,  SILVA  EGNEM   ,SILVA EGNEM  BARRA GAJARDO ,2018-05-17 00:00:00,,  BARRA   GAJARDO ,SILVA,EGNEM,,BARRA,permiso,,,
589,PRIMERA,  CARRENO,  SILVA  MAGGI   ,SILVA MAGGI  PEÑAILILLO GAJARDO ,2018-05-22 00:00:00,,  PEÑAILILLO   GAJARDO ,SILVA,MAGGI,,PEÑAILILLO,subroga,,,
598,PRIMERA,  CARREÑO,  SILVA RA MAGGI  EGNEM  ,SILVA RA MAGGI EGNEM  MUNITA,2018-05-24 00:00:00,,   MUNITA,SILVA,RA,MAGGI,EGNEM,comisión,,,
603,PRIMERA,  SILVA,  MAGGI EGNEM   ,MAGGI EGNEM  ABUAUAD GAJARDO ,2018-05-28 00:00:00,,  ABUAUAD   GAJARDO ,MAGGI,EGNEM,,ABUAUAD,comisión,permiso,,
610,PRIMERA,  CARREÑO,  SILVA AS MAGGI EGNEM  SEEÑORR ,SILVA AS MAGGI EGNEM SEEÑORR ,2018-05-29 00:00:00,, ,SILVA,AS,MAGGI,EGNEM,,,,
617,PRIMERA,  CARREÑO,  SILVA  EGNEM  FUENTES ,SILVA EGNEM FUENTES ABUAUAD,2018-05-30 00:00:00,,   ABUAUAD,SILVA,EGNEM,FUENTES,ABUAUAD,permiso,,,
623,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM ,2018-05-09 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,,,,
633,_ PRIMERA,  CARREÑO,  SILVA  EGNEM  FUENTES ,SILVA EGNEM FUENTES GOMEZ,2018-05-08 00:00:00,,   GOMEZ,SILVA,EGNEM,FUENTES,GOMEZ,permiso,,,
644,PRIMERA,  SILVA,  MAGGI EGNEM  FUENTES   ,MAGGI EGNEM FUENTES PEÑAILILLO,2018-05-07 00:00:00,,   PEÑAILILLO,MAGGI,EGNEM,FUENTES,PEÑAILILLO,permiso,,,
663,PRIMERA,  CARREÑO,  SILVA AS MAGGI EGNEM   ,SILVA AS MAGGI EGNEM ,2018-05-03 00:00:00,, ,SILVA,AS,MAGGI,EGNEM,,,,
671,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM  SEEÑOR ,SILVA SEEÑORAS MAGGI EGNEM SEEÑOR ,2018-05-02 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,,,,
674,PRIMERA,  CARREÑO,  MAGGI EGNEM  FUENTES  ,MAGGI EGNEM FUENTES  PEÑAILILLO,2018-06-11 00:00:00,,   PEÑAILILLO,MAGGI,EGNEM,FUENTES,,comisión,,,
678,PRIMERA,  CARREÑO,  SILVA  MAGGI  FUENTES ,SILVA MAGGI FUENTES MUNITA,2018-06-12 00:00:00,,   MUNITA,SILVA,MAGGI,FUENTES,MUNITA,,,,
681,PRIMERA,  SILVA,  MAGGI EGNEM  FUENTES  ,MAGGI EGNEM FUENTES  PEÑAILILLO,2018-06-13 00:00:00,,   PEÑAILILLO,MAGGI,EGNEM,FUENTES,,permiso,,,
686,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ABUAUAD,2018-06-14 00:00:00,,   ABUAUAD,SILVA,MAGGI,EGNEM,ABUAUAD,comisión,,,
693,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM  LA ,SILVA SEEÑORAS MAGGI EGNEM LA ETCHEBERRY,2018-06-18 00:00:00,,   ETCHEBERRY,SILVA,SEEÑORAS,MAGGI,EGNEM,comisión,,,
699,PRIMERA,  CARREÑO,  SILVA SEEÑORA MAGGI  FUENTES ,SILVA SEEÑORA MAGGI FUENTES ETCHEBERRY,2018-06-19 00:00:00,,   ETCHEBERRY,SILVA,SEEÑORA,MAGGI,FUENTES,permiso,,,
704,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-06-20 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
711,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-06-21 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
721,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM ,2018-06-25 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,,,,
726,P RA,  SILVA,  EGNEM  FUENTES  LOS ,EGNEM FUENTES LOS PEÑAILILLO MUNITA ,2018-06-26 00:00:00,,  PEÑAILILLO  MUNITA ,EGNEM,FUENTES,LOS,PEÑAILILLO,permiso,,,
734,PRIMERA,  SILVA,  MAGGI EGNEM  FUENTES   ,MAGGI EGNEM FUENTES PEÑAILILLO,2018-06-27 00:00:00,,   PEÑAILILLO,MAGGI,EGNEM,FUENTES,PEÑAILILLO,permiso,,,
744,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM  LA ,SILVA MAGGI EGNEM LA ETCHEBERRY,2018-06-28 00:00:00,,   ETCHEBERRY,SILVA,MAGGI,EGNEM,LA,subroga,,,
763,| PRIMERA,  CARREÑO,  SILVA SEEÑORA MAGGI  FUENTES ,SILVA SEEÑORA MAGGI FUENTES ABUAUAD,2018-06-07 00:00:00,,   ABUAUAD,SILVA,SEEÑORA,MAGGI,FUENTES,,,,
773,PRIMERA,  CARREÑO,  SILVA RA EGNEM  FUENTES ,SILVA RA EGNEM FUENTES PIERRY,2018-06-06 00:00:00,,   PIERRY,SILVA,RA,EGNEM,FUENTES,licencia,,,
786,PRIMERA,  CARREÑO,  SILVA SEEÑORA EGNEM  FUENTES ,SILVA SEEÑORA EGNEM FUENTES ETCHEBERRY,2018-06-05 00:00:00,,   ETCHEBERRY,SILVA,SEEÑORA,EGNEM,FUENTES,licencia,,,
795,_ _ PRIMERA,  CARREÑO,  SILVA SEEÑORA EGNEM  FUENTES ,SILVA SEEÑORA EGNEM FUENTES MUNITA,2018-06-04 00:00:00,,   MUNITA,SILVA,SEEÑORA,EGNEM,FUENTES,permiso,,,
804,PRIMERA,  CARRENO,  MAGGI EGNEM   ,MAGGI EGNEM  PEÑAILILLO DE LA MAZA ,2018-07-10 00:00:00,,  PEÑAILILLO  DE LA MAZA ,MAGGI,EGNEM,,PEÑAILILLO,comisión,subroga,,
807,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM ,2018-07-11 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,,,,
809,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM ABUAUAD,2018-07-12 00:00:00,,   ABUAUAD,SILVA,SEEÑORAS,MAGGI,EGNEM,subroga,,,
815,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM BARRA,2018-07-17 00:00:00,,   BARRA,SILVA,SEEÑORAS,MAGGI,EGNEM,subroga,,,
817,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM PENAILILLO,2018-07-19 00:00:00,,   PENAILILLO,SILVA,MAGGI,EGNEM,PENAILILLO,subroga,,,
823,PRIMERA,  SILVA,  EGNEM  FUENTES   ,EGNEM FUENTES  ABUABUAD BARRA ,2018-07-23 00:00:00,,  ABUABUAD  BARRA ,EGNEM,FUENTES,,ABUABUAD,permiso,,,
829,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM MUNITA,2018-07-24 00:00:00,,   MUNITA,SILVA,MAGGI,EGNEM,MUNITA,subroga,,,
834,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM MUNITA,2018-07-25 00:00:00,,   MUNITA,SILVA,SEEÑORAS,MAGGI,EGNEM,subroga,,,
843,PRIMERA,  CARRENO,  SILVA  MAGGI   ,SILVA MAGGI  PALLAVICINI DE LA MAZA ,2018-07-26 00:00:00,,  PALLAVICINI  DE LA MAZA ,SILVA,MAGGI,,PALLAVICINI,permiso,subroga,,
851,PRIMERA,  CARREÑO,  MAGGI EGNEM   ,MAGGI EGNEM  MUNITA BARRA ,2018-07-30 00:00:00,,  MUNITA  BARRA ,MAGGI,EGNEM,,MUNITA,feriado,subroga,,
856,PRIMERA,  CARREÑO,  MAGGI EGNEM   ,MAGGI EGNEM  PEÑAILILLO PALLAVICINI ,2018-07-31 00:00:00,,  PEÑAILILLO  PALLAVICINI ,MAGGI,EGNEM,,PEÑAILILLO,feriado,subroga,,
866,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM  ,SILVA SEEÑORAS MAGGI EGNEM ,2018-07-09 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,,,,
882,PRIMERA,  CARREÑO,  SILVA SEEÑORA EGNEM  ,SILVA SEEÑORA EGNEM  GAJARDO,2018-07-05 00:00:00,,   GAJARDO,SILVA,SEEÑORA,EGNEM,,comisión,subroga,,
892,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-07-04 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
902,PRIMERA,  CARREÑO,  SILVA  MAGGI  FUENTES ,SILVA MAGGI FUENTES MUNITA,2018-07-03 00:00:00,,   MUNITA,SILVA,MAGGI,FUENTES,MUNITA,permiso,,,
905,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-08-13 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
907,PRIMERA,  CARREÑO,  SILVA RAS MAGGI EGNEM   ,SILVA RAS MAGGI EGNEM ,2018-08-14 00:00:00,, ,SILVA,RAS,MAGGI,EGNEM,,,,
910,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM  ,SILVA SEEÑORAS MAGGI EGNEM  ABUAUAD,2018-08-16 00:00:00,,   ABUAUAD,SILVA,SEEÑORAS,MAGGI,EGNEM,subroga,,,
915,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM ,2018-08-20 00:00:00,, ,SILVA,MAGGI,EGNEM,,,,,
919,PRIMERA,  CARREÑO,  SILVA SEEÑORRAS MAGGI EGNEM   ,SILVA SEEÑORRAS MAGGI EGNEM ,2018-08-21 00:00:00,, ,SILVA,SEEÑORRAS,MAGGI,EGNEM,,,,
924,PRIMERA,  CARREÑO,  SILVA SEEÑORAS MAGGI EGNEM   ,SILVA SEEÑORAS MAGGI EGNEM ,2018-08-22 00:00:00,, ,SILVA,SEEÑORAS,MAGGI,EGNEM,,,,
929,PRIMERA,  CARREÑO,  SILVA  MAGGI EGNEM   ,SILVA MAGGI EGNEM BARRA,2018-08-23 00:00:00,,   BARRA,SILVA,MAGGI,EGNEM,BARRA,subroga,,,
938,PRIMERA,  SILVA,  MAGGI  DAHM   ,MAGGI DAHM  PEÑAILILLO MUNITA ,2018-08-27 00:00:00,,  PEÑAILILLO  MUNITA ,MAGGI,DAHM,,PEÑAILILLO,comisión,permiso,,
