,Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4
1008,PRIMERA,2020-07-31,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
1018,PRIMERA,2020-07-09,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1033,PRIMERA,2020-07-08,BRITO,AEGNEM,FUENTES,PRADO,ZEPEDA
1043,PRIMERA,2020-07-07,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1054,PRIMERA,2020-07-06,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1069,PRIMERA,2020-07-03,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1083,PRIMERA,2020-07-02,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
1102,PRIMERA,2020-07-01,AMAGGI,AEGNEM,FUENTES,ZEPEDA,GOMEZ
1105,PRIMERA,2020-08-10,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1106,PRIMERA,2020-08-11,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1109,PRIMERA,2020-08-12,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1112,PRIMERA,2020-08-13,AMAGGI,AEGNEM,FUENTES,ZEPEDA,GOMEZ
1118,PRIMERA,2020-08-14,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
1122,PRIMERA,2020-08-17,AMAGGI,AEGNEM,PRADO,ZEPEDA,GOMEZ
1131,PRIMERA,2020-08-19,AEGNEM,FUENTES,ZEPEDA,MUNITA,GOMEZ
1136,PRIMERA,2020-08-20,AEGNEM,FUENTES,ZEPEDA,MUNITA,GOMEZ
1142,PRIMERA,2020-08-21,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1150,PRIMERA,2020-08-24,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1158,PRIMERA,2020-08-25,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
1166,PRIMERA,2020-08-26,AMAGGI,PRADO,ZEPEDA,LAGOS,MUNITA
1174,PRIMERA,2020-08-27,AMAGGI,PRADO,ZEPEDA,MUNITA,GOMEZ
1181,PRIMERA,2020-08-28,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1195,PRIMERA,2020-08-31,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1209,PRIMERA,2020-08-07,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1222,PRIMERA,2020-08-06,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1234,PRIMERA,2020-08-05,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1249,PRIMERA,2020-08-04,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1261,PRIMERA,2020-08-03,AMAGGI,AEGNEM,FUENTES,PRADO,GOMEZ
1263,PRIMERA,2020-09-10,AEGNEM,FUENTES,ARANGUIZ,PRADO,MUNITA
1266,PRIMERA,2020-09-11,AEGNEM,FUENTES,ARANGUIZ,PRADO,GOMEZ
1273,PRIMERA,2020-09-15,AMAGGI,FUENTES,ARANGUIZ,PRADO,MUNITA
1275,PRIMERA,2020-09-14,BRITO,AMAGGI,FUENTES,ARANGUIZ,PRADO
1282,PRIMERA,2020-09-16,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1289,PRIMERA,2020-09-17,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1297,PRIMERA,2020-09-21,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1306,PRIMERA,2020-09-22,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1314,PRIMERA,2020-09-23,AMAGGI,AEGNEM,FUENTES,PRADO,GOMEZ
1325,PRIMERA,2020-09-24,AEGNEM,FUENTES,PRADO,MUNITA,GOMEZ
1336,PRIMERA,2020-09-25,AMAGGI,AEGNEM,ARANGUIZ,PRADO,MUNITA
1348,PRIMERA,2020-09-28,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
1362,PRIMERA,2020-09-29,AMAGGI,AEGNEM,FUENTES,BIEL,MUNITA
1377,PRIMERA,2020-09-30,AMAGGI,AEGNEM,PRADO,LAGOS,MUNITA
1393,PRIMERA,2020-09-09,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,AETCHEBERRY
1409,PRIMERA,2020-09-08,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,GOMEZ
1426,PRIMERA,2020-09-07,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1445,PRIMERA,2020-09-04,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1468,PRIMERA,2020-09-03,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1483,PRIMERA,2020-09-02,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1503,PRIMERA,2020-09-01,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,GOMEZ
1506,PRIMERA,2020-10-13,AEGNEM,FUENTES,PRADO,BIEL,MUNITA
1509,PRIMERA,2020-10-14,AMAGGI,AEGNEM,VALDERRAMA,PRADO,BIEL
1513,PRIMERA,2020-10-15,AMAGGI,AEGNEM,FUENTES,VALDERRAMA,BIEL
1518,PRIMERA,2020-10-16,AEGNEM,FUENTES,BIEL,LAGOS,GOMEZ
1523,PRIMERA,2020-10-19,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1530,PRIMERA,2020-10-20,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1537,PRIMERA,2020-10-21,AMAGGI,AEGNEM,FUENTES,PRADO,GOMEZ
1547,PRIMERA,2020-10-22,AMAGGI,PRADO,BIEL,MUNITA,GOMEZ
1556,PRIMERA,2020-10-23,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1565,PRIMERA,2020-10-27,AMAGGI,AEGNEM,FUENTES,PRADO,BIEL
1597,PRIMERA,2020-10-28,AMAGGI,PRADO,LLANOS,MUNITA,GOMEZ
1598,PRIMERA,2020-10-29,AMAGGI,AEGNEM,PRADO,AREPETTO,LAGOS
