,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
11688,TERCERA,  PIERR Y ,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  QUINTANILLA PRADO ,2015-07-08 00:00:00,,  QUINTANILLA  PRADO ,EGNEM,SANDOVAL,,QUINTANILLA,subroga,,,
11702,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ARÁNGUIZ,EGNEM SANDOVAL ARÁNGUIZ LAGOS,2015-07-07 00:00:00,ARÁNGUIZ,   LAGOS,EGNEM,SANDOVAL,ARÁNGUIZ,LAGOS,,,,
11717,TERCERA,  PIER K Y,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-07-06 00:00:00,,  ,EGNEM,SANDOVAL,,,,,,
11747,TERCERA,  PIERR Y, 5SS ARÁNGUIZ,5SS ARÁNGUIZ GOMEZ,2015-07-02 00:00:00,ARÁNGUIZ,   GOMEZ,5SS,ARÁNGUIZ,GOMEZ,,,,,
11764,TERCERA,  PIERR Y,  EGNEM  ARANGUIZ  LOS ,EGNEM ARANGUIZ LOS MA TUS LAGOS ,2015-07-01 00:00:00,,  MA TUS  LAGOS ,EGNEM,ARANGUIZ,LOS,MA,permiso,,,
11767,TERCERA,"  PIERR Y,",  EGNEM SANDOVAL   ,EGNEM SANDOVAL  GOMEZ LAGOS ,2015-08-10 00:00:00,,  GOMEZ  LAGOS ,EGNEM,SANDOVAL,,GOMEZ,feriado,,,
11770,TERCERA,  PIERR Y,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  CORREA PRADO ,2015-08-11 00:00:00,,  CORREA  PRADO ,EGNEM,SANDOVAL,,CORREA,feriado,,,
11774,TERCERA,  KUNSEMULLER,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  QUINTANILLA GOMEZ ,2015-08-12 00:00:00,,  QUINTANILLA  GOMEZ ,EGNEM,SANDOVAL,,QUINTANILLA,comisión,feriado,,
11780,TERCERA,  PIERR Y,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  MA TUS PRADO ,2015-08-13 00:00:00,,  MA TUS  PRADO ,EGNEM,SANDOVAL,,MA,feriado,,,
11790,TERCERA,  PIERR Y |,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  QUINTANILLA PRADO ,2015-08-17 00:00:00,,  QUINTANILLA  PRADO ,EGNEM,SANDOVAL,,QUINTANILLA,feriado,,,
11797,TERCERA,  PIERR Y,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  RODRIGUEZ CORREA ,2015-08-18 00:00:00,,  RODRIGUEZ  CORREA ,EGNEM,SANDOVAL,,RODRIGUEZ,feriado,,,
11805,TERCERA,  PIERR Y,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  QUINTANILLA MATUS ,2015-08-19 00:00:00,,  QUINTANILLA  MATUS ,EGNEM,SANDOVAL,,QUINTANILLA,feriado,,,
11814,TERCERA,  PIERR Y,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  PIZARRO CORREA ,2015-08-20 00:00:00,,  PIZARRO  CORREA ,EGNEM,SANDOVAL,,PIZARRO,feriado,,,
11824,TERCERA,  PIERRY,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  QUINTANILLA LAGOS ,2015-08-24 00:00:00,,  QUINTANILLA  LAGOS ,EGNEM,SANDOVAL,,QUINTANILLA,feriado,,,
11835,TERCERA,  PIERR Y,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  LAGOS ETCHEBERRY ,2015-08-25 00:00:00,,  LAGOS   ETCHEBERRY ,EGNEM,SANDOVAL,,LAGOS,feriado,,,
11847,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-08-26 00:00:00,,  ,EGNEM,SANDOVAL,,,subroga,,,
11860,TERCERA,  PIERRY,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  QUINTANILLA RODRIGUEZ ,2015-08-27 00:00:00,,  QUINTANILLA  RODRIGUEZ ,EGNEM,SANDOVAL,,QUINTANILLA,subroga,,,
11887,TERCERA,,  SANDOVAL FISCAL SEEOR ESCOBAR  ,SANDOVAL FISCAL SEEOR ESCOBAR GOMEZ PRADO ,2015-08-31 00:00:00,,  GOMEZ  PRADO ,SANDOVAL,FISCAL,SEEOR,ESCOBAR,comisión,permiso,,
11916,TERCERA,  PIERR Y,  EGNEM  ARÁNGUIZ  LOS ,EGNEM ARÁNGUIZ LOS PIZARRO GOMEZ ,2015-08-06 00:00:00,,  PIZARRO  GOMEZ ,EGNEM,ARÁNGUIZ,LOS,PIZARRO,comisión,,,
11932,TERCERA,  PIERR Y,  EGNEM  ARÁNGUIZ  LOS ,EGNEM ARÁNGUIZ LOS LAGOS GOMEZ ,2015-08-05 00:00:00,,  LAGOS  GOMEZ ,EGNEM,ARÁNGUIZ,LOS,LAGOS,comisión,,,
11949,TERCERA,  PIERR Y,  FUENTES ARÁNGUIZ   ,FUENTES ARÁNGUIZ  ETCHEBERRY FIGUEROA ,2015-08-04 00:00:00,,  ETCHEBERRY   FIGUEROA ,FUENTES,ARÁNGUIZ,,ETCHEBERRY,comisión,permiso,,
11967,TERCERA,  PIERR Y,  SANDOVAL  ARÁNGUIZ  LOS ,SANDOVAL ARÁNGUIZ LOS CORREA PRADO ,2015-08-03 00:00:00,,  CORREA  PRADO ,SANDOVAL,ARÁNGUIZ,LOS,CORREA,permiso,,,
11970,TERCERA,,  SANDOVAL  MINISTRO SUPLENTE:  ,SANDOVAL MINISTRO SUPLENTE: GOMEZ ,2015-09-10 00:00:00,,  GOMEZ  ,SANDOVAL,MINISTRO,SUPLENTE:,GOMEZ,licencia,feriado,,
11973,TERCERA,,  SANDOVAL  MINISTRO SUPLENTE:  ,SANDOVAL MINISTRO SUPLENTE: MA TUS ,2015-09-14 00:00:00,,  MA TUS  ,SANDOVAL,MINISTRO,SUPLENTE:,MA,licencia,feriado,,
11978,TERCERA,,  SANDOVAL  VALDERRAMA  ,SANDOVAL VALDERRAMA ,2015-09-15 00:00:00,, ,SANDOVAL,VALDERRAMA,,,licencia,feriado,,
11983,| TERCERA,,  SANDOVAL RES ARÁNGUIZ  VALDERRAMA,SANDOVAL RES ARÁNGUIZ VALDERRAMA LAGOS,2015-09-16 00:00:00,f VALDERRAMA,   LAGOS,SANDOVAL,RES,ARÁNGUIZ,VALDERRAMA,feriado,,,
11989,TERCERA,,  SANDOVAL STÑORES ARÁNGUIZ VALDERRAMA,SANDOVAL STÑORES ARÁNGUIZ VALDERRAMA MATUS,2015-09-17 00:00:00,VALDERRAMA,   MATUS,SANDOVAL,STÑORES,ARÁNGUIZ,VALDERRAMA,feriado,,,
11995,TERCERA,  PIERR Y,  SANDOVAL  ARÁNGUIZ  LOS ,SANDOVAL ARÁNGUIZ LOS GOMEZ FIGUEROA ,2015-09-21 00:00:00,,  GOMEZ  FIGUEROA ,SANDOVAL,ARÁNGUIZ,LOS,GOMEZ,comisión,,,
12003,TERCERA,  PIERR Y,  SANDOVAL  VALDERRAMA  ,SANDOVAL VALDERRAMA QUINTANILLA ,2015-09-22 00:00:00,,  QUINTANILLA  ,SANDOVAL,VALDERRAMA,QUINTANILLA,,comisión,,,
12012,TERCERA,  PIERR Y,  SANDOVAL  FISCAL:  ,SANDOVAL FISCAL: ,2015-09-23 00:00:00,,  ,SANDOVAL,FISCAL:,,,comisión,permiso,,
12022,TERCERA,  PIERR Y,  SANDOVAL  FISCAL:  ,SANDOVAL FISCAL: ,2015-09-24 00:00:00,,  ,SANDOVAL,FISCAL:,,,comisión,permiso,,
12044,TERCERA,  PIERRY,  EGNEM  ARÁNGUIZ  ,EGNEM ARÁNGUIZ  CORREA,2015-09-28 00:00:00,,   CORREA,EGNEM,ARÁNGUIZ,,CORREA,permiso,feriado,,
12056,TERCERA,,  ARANGUIZ  MINISTRO SUPLENTE:  PFEIFFER  FISCAL:  ESCOBAR,ARANGUIZ MINISTRO SUPLENTE: PFEIFFER FISCAL: ESCOBAR CORREA,2015-09-29 00:00:00,"PFEIFFER, EL FISCAL: SEÑOR ESCOBAR",   CORREA,ARANGUIZ,MINISTRO,SUPLENTE:,PFEIFFER,permiso,feriado,,
12069,TERCERA,  PIERRY,  EGNEM  ARÁNGUIZ  ,EGNEM ARÁNGUIZ ,2015-09-30 00:00:00,, ,EGNEM,ARÁNGUIZ,,,permiso,feriado,,
12083,TERCERA,,  SANDOVAL  VALDERRAMA  ,SANDOVAL VALDERRAMA MA TUS GOMEZ ,2015-09-09 00:00:00,,  MA TUS  GOMEZ ,SANDOVAL,VALDERRAMA,MA,TUS,licencia,feriado,,
12099,TERCERA,,  SANDOVAL STÑOR ARÁNGUIZ  LOS ,SANDOVAL STÑOR ARÁNGUIZ LOS LAGOS PRADO ,2015-09-08 00:00:00,,  LAGOS  PRADO ,SANDOVAL,STÑOR,ARÁNGUIZ,LOS,feriado,subroga,,
12115,TERCERA,,  ARÁNGUIZ VALDERRAMA  ROS ,ARÁNGUIZ VALDERRAMA ROS QUINTANILLA PRADO ,2015-09-07 00:00:00,,  QUINTANILLA  PRADO ,ARÁNGUIZ,VALDERRAMA,ROS,QUINTANILLA,feriado,,,
12147,TERCERA,,  SANDOVAL  ARANGUIZ  LOS ,SANDOVAL ARANGUIZ LOS LAGOS GOMEZ ,2015-09-03 00:00:00,,  LAGOS  GOMEZ ,SANDOVAL,ARANGUIZ,LOS,LAGOS,feriado,subroga,,
12166,TERCERA,,  SANDOVAL SEOR ARANGUIZ  1OS ,SANDOVAL SEOR ARANGUIZ 1OS LAGOS CORREA ,2015-09-02 00:00:00,,  LAGOS  CORREA ,SANDOVAL,SEOR,ARANGUIZ,1OS,permiso,subroga,,
12186,TERCERA,,  SANDOVAL  ARANGUIZ  LOS ,SANDOVAL ARANGUIZ LOS CORREA PRADO ,2015-09-01 00:00:00,,  CORREA  PRADO ,SANDOVAL,ARANGUIZ,LOS,CORREA,permiso,,,
12189,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ARÁNGUIZ,EGNEM SANDOVAL ARÁNGUIZ PRADO,2015-10-13 00:00:00,ARÁNGUIZ,   PRADO,EGNEM,SANDOVAL,ARÁNGUIZ,PRADO,feriado,,,
12192,TERCERA,  PIERR Y, £5S EGNEM SANDOVAL  ARÁNGUIZ,£5S EGNEM SANDOVAL ARÁNGUIZ LAGOS,2015-10-14 00:00:00,ARÁNGUIZ,   LAGOS,£5S,EGNEM,SANDOVAL,ARÁNGUIZ,feriado,,,
12198,TERCERA,  PIERR Y,  EGNEM  MINISTRO SUPLENTE : ,EGNEM MINISTRO SUPLENTE : ,2015-10-19 00:00:00,, ,EGNEM,MINISTRO,SUPLENTE,:,permiso,feriado,,
12203,TERCERA,  PIERR Y,  EGNEM SANDOVAL  MINISTRO SUPLENTE:  PFEIFFER,EGNEM SANDOVAL MINISTRO SUPLENTE: PFEIFFER ,2015-10-20 00:00:00,SUPLENTE: SEÑOR PFEIFFER,  ,EGNEM,SANDOVAL,MINISTRO,SUPLENTE:,permiso,feriado,,
12209,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-10-21 00:00:00,, ,EGNEM,SANDOVAL,,,feriado,,,
12216,. TERCERA,  PIERRY,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-10-22 00:00:00,, ,EGNEM,SANDOVAL,,,feriado,,,
12242,TERCERA,  PIERRY,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-10-26 00:00:00,, ,EGNEM,SANDOVAL,,,feriado,,,
12253,TERCERA,  PIERR Y,  EGNEM SANDOVAL  MINISTRO SUPLENTE:  PFEILFFER,EGNEM SANDOVAL MINISTRO SUPLENTE: PFEILFFER ,2015-10-27 00:00:00,SUPLENTE: SEÑOR PFEILFFER, ,EGNEM,SANDOVAL,MINISTRO,SUPLENTE:,permiso,feriado,,
12263,TERCERA,  PIERRY,  EGNEM SANDOVAL  MINISTRO SUPLENTE:  PFEIFFER,EGNEM SANDOVAL MINISTRO SUPLENTE: PFEIFFER ,2015-10-28 00:00:00,SUPLENTE: SEÑOR PFEIFFER,  ,EGNEM,SANDOVAL,MINISTRO,SUPLENTE:,licencia,feriado,,
12274,TERCERA,  PIERRY ,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  RODRÍGUEZ LAGOS ,2015-10-29 00:00:00,,  RODRÍGUEZ  LAGOS ,EGNEM,SANDOVAL,,RODRÍGUEZ,licencia,subroga,,
12305,TERCERA,"  PIERR Y,",  KUNSEMULLER  EGNEM SANDOVAL,KUNSEMULLER EGNEM SANDOVAL CORREA,2015-10-08 00:00:00,SANDOVAL,   CORREA,KUNSEMULLER,EGNEM,SANDOVAL,CORREA,feriado,subroga,,
12319,TERCERA,  PIERRY,  SILVA  SANDOVAL  ARÁNGUIZ,SILVA SANDOVAL ARÁNGUIZ PIZARRO,2015-10-07 00:00:00,ARÁNGUIZ,   PIZARRO,SILVA,SANDOVAL,ARÁNGUIZ,PIZARRO,permiso,feriado,,
12334,TERCERÁ,  PIERR Y,  SANDOVAL  ARÁNGUIZ RR MINISTRO SUPLENTE:  PFEILFFER,SANDOVAL ARÁNGUIZ RR MINISTRO SUPLENTE: PFEILFFER QUINTANILLA,2015-10-06 00:00:00,MINISTRO SUPLENTE: SEÑOR PFEILFFER,   QUINTANILLA,SANDOVAL,ARÁNGUIZ,RR,MINISTRO,permiso,feriado,,
12349,TERCERA,  PIERRY,  EGNEM  ARÁNGUIZ  MINISTRO SUPLENTE:  PFEIFFER,EGNEM ARÁNGUIZ MINISTRO SUPLENTE: PFEIFFER MA TUS,2015-10-05 00:00:00,MINISTRO SUPLENTE: SEÑOR PFEIFFER,   MA TUS,EGNEM,ARÁNGUIZ,MINISTRO,SUPLENTE:,permiso,feriado,,
12379,TERCERA,  PIERR Y,  EGNEM  ARÁNGUIZ  MINISTRO SUPLENTE:  PFEIFFER,EGNEM ARÁNGUIZ MINISTRO SUPLENTE: PFEIFFER FIGUEROA,2015-10-01 00:00:00,MINISTRO SUPLENTE: SEÑOR PFEIFFER,   FIGUEROA,EGNEM,ARÁNGUIZ,MINISTRO,SUPLENTE:,permiso,feriado,,
12382,_ TERCERA,  PIERR Y,  EGNEM SANDOVAL RES ,EGNEM SANDOVAL RES ,2015-11-11 00:00:00,, ,EGNEM,SANDOVAL,RES,,,,,
12385,TERCERA,  PIERRY,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  GOMEZ PRADO ,2015-11-12 00:00:00,,  GOMEZ  PRADO ,EGNEM,SANDOVAL,,GOMEZ,subroga,,,
12389,TERCERA,  PIERRY,  EGNEM SANDOVAL  VALDERRAMA,EGNEM SANDOVAL VALDERRAMA MATUS,2015-11-16 00:00:00,VALDERRAMA,   MATUS,EGNEM,SANDOVAL,VALDERRAMA,MATUS,,,,
12394,TERCERA,  PIERRY,  EGNEM SANDOVAL SEÑOORES ,EGNEM SANDOVAL SEÑOORES ,2015-11-17 00:00:00,, ,EGNEM,SANDOVAL,SEÑOORES,,,,,
12400,TERCERA,,  SANDOVAL  ARÁNGUIZ  LOS ,SANDOVAL ARÁNGUIZ LOS QUINTANILLA PRADO ,2015-11-18 00:00:00,,  QUINTANILLA  PRADO ,SANDOVAL,ARÁNGUIZ,LOS,QUINTANILLA,comisión,subroga,,
12408,TERCERA,,  SANDOVAL  VALDERRAMA  ,SANDOVAL VALDERRAMA RODRIGUEZ ,2015-11-19 00:00:00,,  RODRIGUEZ  ,SANDOVAL,VALDERRAMA,RODRIGUEZ,,comisión,permiso,,
12421,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ARÁNGUIZ,EGNEM SANDOVAL ARÁNGUIZ RODRIGUEZ,2015-11-23 00:00:00,ARÁNGUIZ,   RODRIGUEZ,EGNEM,SANDOVAL,ARÁNGUIZ,RODRIGUEZ,permiso,,,
12430,TERCERA,,  SANDOVAL  ARÁNGUIZ VALDERRAMA,SANDOVAL ARÁNGUIZ VALDERRAMA ,2015-11-24 00:00:00,VALDERRAMA,  ,SANDOVAL,ARÁNGUIZ,VALDERRAMA,,comisión,,,
12441,TERCERA,  VALDES,  EGNEM SANDOVAL RES ,EGNEM SANDOVAL RES ,2015-11-25 00:00:00,, ,EGNEM,SANDOVAL,RES,,comisión,,,
12453,i TERCERA,,  SANDOVAL EES ARANGUIZ  VALDERRAMA,SANDOVAL EES ARANGUIZ VALDERRAMA ,,VALDERRAMA,  ,SANDOVAL,EES,ARANGUIZ,VALDERRAMA,comisión,,,
12475,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-11-30 00:00:00,, ,EGNEM,SANDOVAL,,,,,,
12488,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-11-09 00:00:00,, ,EGNEM,SANDOVAL,,,,,,
12513,TERCERA,  PIERR Y,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  QUINTANILLA CORREA ,2015-11-05 00:00:00,,  QUINTANILLA  CORREA ,EGNEM,SANDOVAL,,QUINTANILLA,licencia,subroga,,
12529,TERCERA,  JUICA,  PIERRY  SANDOVAL  FISCAL: ,PIERRY SANDOVAL FISCAL: ,2015-11-04 00:00:00,,  ,PIERRY,SANDOVAL,FISCAL:,,licencia,permiso,,
12545,TERCERA,  PIERR Y, 5S EGNEM SANDOVAL  VALDERRAMA,5S EGNEM SANDOVAL VALDERRAMA MA TUS,2015-11-03 00:00:00,VALDERRAMA,   MA TUS,5S,EGNEM,SANDOVAL,VALDERRAMA,licencia,,,
12561,TERCERA,  PIERR Y,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  QUINTANILLA PRADO ,2015-11-02 00:00:00,,  QUINTANILLA  PRADO ,EGNEM,SANDOVAL,,QUINTANILLA,licencia,,,
12564,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-12-10 00:00:00,, ,EGNEM,SANDOVAL,,,,,,
12569,TERCERA,  PIERR Y,  KUNSEMULLER  EGNEM ,KUNSEMULLER EGNEM ,2015-12-15 00:00:00,, ,KUNSEMULLER,EGNEM,,,subroga,,,
12573,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-12-16 00:00:00,, ,EGNEM,SANDOVAL,,,,,,
12579,TERCERA,  PIERR Y,  EGNEM SANDOVAL SEEÑORES ,EGNEM SANDOVAL SEEÑORES ,2015-12-17 00:00:00,, ,EGNEM,SANDOVAL,SEEÑORES,,,,,
12589,TERCERA,  PIERR Y,  SANDOVAL  VALDERRAMA  ,SANDOVAL VALDERRAMA RODRIGUEZ ,2015-04-02 00:00:00,,  RODRIGUEZ  ,SANDOVAL,VALDERRAMA,RODRIGUEZ,,permiso,,,
12602,TERCERA,  PIERR Y,  EGNEM £5SANDOVAL —  ,EGNEM £5SANDOVAL — ,2015-12-23 00:00:00,, ,EGNEM,£5SANDOVAL,—,,,,,
12610,TERCERA,  PIERR Y,  EGNEM SANDOVAL   ,EGNEM SANDOVAL ,2015-12-28 00:00:00,, ,EGNEM,SANDOVAL,,,,,,
12619,TERCERA,  PIERR Y,  EGNEM SANDOVAL RES ,EGNEM SANDOVAL RES ,2015-12-29 00:00:00,, ,EGNEM,SANDOVAL,RES,,,,,
12629,TERCERA,  PIERRY,  EGNEM SANDOVAL — SRÑORES ,EGNEM SANDOVAL — SRÑORES ,2015-12-30 00:00:00,, ,EGNEM,SANDOVAL,—,SRÑORES,,,,
12642,TERCERA,"  PIERR Y,",  EGNEM SANDOVAL —  ,EGNEM SANDOVAL — ,2015-04-30 00:00:00,, ,EGNEM,SANDOVAL,—,,,,,
12656,TERCERA,  PIERRY,  SANDOVAL  BLANCO VALDERRAMA,SANDOVAL BLANCO VALDERRAMA PRADO,2015-12-09 00:00:00,VALDERRAMA,   PRADO,SANDOVAL,BLANCO,VALDERRAMA,PRADO,comisión,,,
12669,TERCERA,  PIERR Y,  SANDOVAL RES ARÁNGUIZ VALDERRAMA,SANDOVAL RES ARÁNGUIZ VALDERRAMA ,2015-12-07 00:00:00,VALDERRAMA,  ,SANDOVAL,RES,ARÁNGUIZ,VALDERRAMA,permiso,,,
12695,TERCERA,  PIERR Y,  EGNEM SANDOVAL RES ,EGNEM SANDOVAL RES ,2015-12-03 00:00:00,, ,EGNEM,SANDOVAL,RES,,,,,
12723,TERCERA,  PIERR Y,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2015-12-01 00:00:00,, ,EGNEM,SANDOVAL,,,,,,
12726,TERCERA,  PIERRY,  SANDOVAL SEORES ARÁNGUIZ VALDERRAMA,SANDOVAL SEORES ARÁNGUIZ VALDERRAMA GÓMEZ,2016-01-11 00:00:00,VALDERRAMA,   GÓMEZ,SANDOVAL,SEORES,ARÁNGUIZ,VALDERRAMA,feriado,,,
12730,TERCERA,  PIERRY,  SANDOVAL  ARÁNGUIZ VALDERRAMA,SANDOVAL ARÁNGUIZ VALDERRAMA ,2016-01-12 00:00:00,VALDERRAMA,  ,SANDOVAL,ARÁNGUIZ,VALDERRAMA,,feriado,,,
12733,TERCERA,  PIERRY,  SANDOVAL SEÑOORES ARÁNGUIZ VALDERRAMA,SANDOVAL SEÑOORES ARÁNGUIZ VALDERRAMA MATUS,2016-01-13 00:00:00,VALDERRAMA,   MATUS,SANDOVAL,SEÑOORES,ARÁNGUIZ,VALDERRAMA,feriado,,,
12737,TERCERA,  PIERRY,  SANDOVAL  VALDERRAMA  ,SANDOVAL VALDERRAMA RODRÍGUEZ ,2016-01-14 00:00:00,,  RODRÍGUEZ  ,SANDOVAL,VALDERRAMA,RODRÍGUEZ,,feriado,,,
12748,TERCERA,  PIERR Y,  SANDOVAL  ARÁNGUIZ VALDERRAMA,SANDOVAL ARÁNGUIZ VALDERRAMA ,2016-01-18 00:00:00,VALDERRAMA,  ,SANDOVAL,ARÁNGUIZ,VALDERRAMA,,feriado,,,
12755,TERCERA,  PIERRY,  SANDOVAL  ARÁNGUIZ DAHM,SANDOVAL ARÁNGUIZ DAHM PRADO,2016-01-19 00:00:00,DAHM,   PRADO,SANDOVAL,ARÁNGUIZ,DAHM,PRADO,permiso,subroga,,
12763,TERCERA,  PIERRY,  SANDOVAL  ARÁNGUIZ  ,SANDOVAL ARÁNGUIZ LAGOS CORREA ,2016-01-20 00:00:00,,  LAGOS  CORREA ,SANDOVAL,ARÁNGUIZ,LAGOS,CORREA,permiso,subroga,,
12772,TERCERA,  PIERRY,  EGNEM SANDOVAL  ARANGUIZ,EGNEM SANDOVAL ARANGUIZ PRADO,2016-01-21 00:00:00,ARANGUIZ,   PRADO,EGNEM,SANDOVAL,ARANGUIZ,PRADO,subroga,,,
12791,TERCERA,  PIERRY,  EGNEM SANDOVAL  ,EGNEM SANDOVAL  PRADO,2016-01-25 00:00:00,,   PRADO,EGNEM,SANDOVAL,,PRADO,permiso,,,
12802,TERCERA,  PIERRY,  EGNEM SANDOVAL   ,EGNEM SANDOVAL  RODRÍGUEZ FIGUEROA ,2016-01-26 00:00:00,,  RODRÍGUEZ  FIGUEROA ,EGNEM,SANDOVAL,,RODRÍGUEZ,permiso,,,
12815,TERCERA,,  SANDOVAL  ARÁNGUIZ  LOS ,SANDOVAL ARÁNGUIZ LOS RODRÍGUEZ PRADO ,2016-01-27 00:00:00,,  RODRÍGUEZ  PRADO ,SANDOVAL,ARÁNGUIZ,LOS,RODRÍGUEZ,comisión,permiso,,
12828,TERCERA,,  SANDOVAL  ARÁN GUIZ VALDERRAMA,SANDOVAL ARÁN GUIZ VALDERRAMA LAGOS,2016-01-28 00:00:00,VALDERRAMA,   LAGOS,SANDOVAL,ARÁN,GUIZ,VALDERRAMA,comisión,,,
12866,TERCERA,  CARREÑO,  PIERRY BRITO  SANDOVAL ,PIERRY BRITO SANDOVAL ,2016-01-07 00:00:00,, ,PIERRY,BRITO,SANDOVAL,,feriado,,,
12881,TERCERA,  PIERR Y,  SANDOVAL  ARÁNGUIZ VALDERRAMA,SANDOVAL ARÁNGUIZ VALDERRAMA ,2016-01-06 00:00:00,VALDERRAMA,  ,SANDOVAL,ARÁNGUIZ,VALDERRAMA,,feriado,,,
12897,TERCERA,  PIERRY,  SANDOVAL  ARÁNGUIZ VALDERRAMA,SANDOVAL ARÁNGUIZ VALDERRAMA PRADO,2016-01-05 00:00:00,VALDERRAMA,   PRADO,SANDOVAL,ARÁNGUIZ,VALDERRAMA,PRADO,feriado,,,
12914,TERCERA,  PIERRY ,  SANDOVAL  ARÁNGUIZ ,SANDOVAL ARÁNGUIZ ,2016-01-04 00:00:00,,  ,SANDOVAL,ARÁNGUIZ,,,feriado,,,
12917,TERCERA,  PIERRY,  EGNEM SANDOVAL  VALDERRAMA,EGNEM SANDOVAL VALDERRAMA MATUS,2016-03-10 00:00:00,VALDERRAMA,   MATUS,EGNEM,SANDOVAL,VALDERRAMA,MATUS,licencia,,,
12922,TERCERA,  PIERRY,  EGNEM SANDOVAL —  ,EGNEM SANDOVAL — ,2016-03-14 00:00:00,, ,EGNEM,SANDOVAL,—,,,,,
12926,TERCERA,  PIERRY,  EGNEM SANDOVAL  VALDERRAMA,EGNEM SANDOVAL VALDERRAMA MATUS,2016-03-15 00:00:00,VALDERRAMA,   MATUS,EGNEM,SANDOVAL,VALDERRAMA,MATUS,comisión,,,
12931,TERCERA,  PIERRY,  EGNEM SANDOVAL RES ,EGNEM SANDOVAL RES ,2016-03-16 00:00:00,, ,EGNEM,SANDOVAL,RES,,,,,
12938,TERCERA,  PIERRY,  EGNEM SANDOVAL  ,EGNEM SANDOVAL ,2016-03-17 00:00:00,, ,EGNEM,SANDOVAL,,,,,,
12950,TERCERA,  PIERRY,  EGNEM SANDOVAL — STÑOR ,EGNEM SANDOVAL — STÑOR ,2016-03-21 00:00:00,, ,EGNEM,SANDOVAL,—,STÑOR,subroga,,,
12958,TERCERA,  PIERRY,  EGNEM SANDOVAL — EES ,EGNEM SANDOVAL — EES ,2016-03-22 00:00:00,, ,EGNEM,SANDOVAL,—,EES,,,,
12967,TERCERA,  PIERRY, £ EGNEM SANDOVAL  ARANGUIZ,£ EGNEM SANDOVAL ARANGUIZ ,2016-03-23 00:00:00,ARANGUIZ,  ,£,EGNEM,SANDOVAL,ARANGUIZ,,,,
12977,TERCERA,,,,2016-03-24 00:00:00,ARAN GUIZ,  ,,,,,,,,
12988,TERCERA,  PIERRY,  EGNEM SANDOVAL ,EGNEM SANDOVAL ,2016-03-28 00:00:00,, ,EGNEM,SANDOVAL,,,,,,
13000,instalar la TERCERA,  PIERRY,  EGNEM SANDOVAL VALDERRAMA,EGNEM SANDOVAL VALDERRAMA ,,VALDERRAMA, ,EGNEM,SANDOVAL,VALDERRAMA,,,,,
13013,instalar la TERCERA,  PIERRY,  SANDOVAL SEOR ARANGUI ,SANDOVAL SEOR ARANGUI MA TUS PRADO ,2016-03-30 00:00:00,,  MA TUS  PRADO ,SANDOVAL,SEOR,ARANGUI,MA,permiso,,,
13027,TERCERA,  PIERRY,  SANDOVAL SEEÑORES ARANGUIZ VALDERRAMA,SANDOVAL SEEÑORES ARANGUIZ VALDERRAMA LAGOS,2016-03-31 00:00:00,VALDERRAMA,   LAGOS,SANDOVAL,SEEÑORES,ARANGUIZ,VALDERRAMA,permiso,,,
13043,TERCERA,  PIERRY,  EGNEM SANDOVAL  VALDERRAMA,EGNEM SANDOVAL VALDERRAMA ,2016-03-09 00:00:00,VALDERRAMA,  ,EGNEM,SANDOVAL,VALDERRAMA,,licencia,,,
