,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
3739,PRIMERA,  CARREÑO,  SILVA SEEÑORA MAGGI   ,SILVA SEEÑORA MAGGI  PEÑAILILLO FIGUEROA ,2017-11-28 00:00:00,,  PEÑAILILLO  FIGUEROA ,SILVA,SEEÑORA,MAGGI,,comisión,,,
3747,PRIMERA,  CARRENO,  SILVA  MAGGÍ   ,SILVA MAGGÍ  PEÑAILILLO FIGUEROA ,2017-11-29 00:00:00,,  PEÑAILILLO  FIGUEROA ,SILVA,MAGGÍ,,PEÑAILILLO,comisión,,,
3756,PRIMERA,  CARRENO,  SILVA  MAGGI   ,SILVA MAGGI  PEÑAILILLO LAGOS ,2017-11-30 00:00:00,,  PEÑAILILLO  LAGOS ,SILVA,MAGGI,,PEÑAILILLO,comisión,,,
3767,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  FUENTES LAGOS ,2017-11-09 00:00:00,,  FUENTES  LAGOS ,SILVA,MAGGI,,FUENTES,comisión,,,
3778,PRIMERA,  CARREÑO,  SILVA  MAGGI   ,SILVA MAGGI  PEÑAILILLO QUINTANILLA ,2017-11-08 00:00:00,,  PEÑAILILLO  QUINTANILLA ,SILVA,MAGGI,,PEÑAILILLO,comisión,subroga,,
3790,PRIMERA,  CARREÑO,  MAGGI CHEVESICH   ,MAGGI CHEVESICH  PEÑAILILLO GOMEZ ,2017-11-07 00:00:00,,  PEÑAILILLO  GOMEZ ,MAGGI,CHEVESICH,,PEÑAILILLO,comisión,permiso,,
3803,PRIMERA,  CARREÑO,  SILVA SEEÑORA MAGGI  LOOS ABOGADOS ,SILVA SEEÑORA MAGGI LOOS ABOGADOS GOMEZ FIGUEROA ,2017-11-06 00:00:00,,  GOMEZ  FIGUEROA ,SILVA,SEEÑORA,MAGGI,LOOS,comisión,subroga,,
3825,PRIMERA,  CARREÑO,  SILVA  MAGGI  FUENTES ,SILVA MAGGI FUENTES GOMEZ,2017-11-02 00:00:00,,   GOMEZ,SILVA,MAGGI,FUENTES,GOMEZ,feriado,,,
3828,PRIMERA,  CARRENO,  SILVA PRADO   ,SILVA PRADO  PEÑATLILLO GOMEZ ,2017-12-11 00:00:00,,  PEÑATLILLO  GOMEZ ,SILVA,PRADO,,PEÑATLILLO,comisión,permiso,,
3830,PRIMERA,  CARREÑO,  SILVA SEEÑÑORS CHEVYESICH  LOS ,SILVA SEEÑÑORS CHEVYESICH LOS PEÑAILILLO ,2017-12-12 00:00:00,,  PEÑAILILLO  ,SILVA,SEEÑÑORS,CHEVYESICH,LOS,comisión,permiso,,
3833,PRIMERA,  CARREÑO,  SILVA SEEÑORA MAGGI   ,SILVA SEEÑORA MAGGI  PEÑAILILLO FIGUEROA ,2017-12-13 00:00:00,,  PEÑAILILLO  FIGUEROA ,SILVA,SEEÑORA,MAGGI,,comisión,,,
3836,PRIMERA,  CARREÑO,  SILVA SEEÑORA MAGGI  LOSS ABOGADOS ,SILVA SEEÑORA MAGGI LOSS ABOGADOS LAGOS FIGUEROA ,2017-12-14 00:00:00,,  LAGOS  FIGUEROA ,SILVA,SEEÑORA,MAGGI,LOSS,comisión,,,
