index,Posesión de balón_local_final,Remates_local_final,Remates a puerta_local_final,Remates fuera_local_final,Remates rechazados_local_final,Córneres_local_final,Fueras de juego_local_final,Paradas_local_final,Faltas_local_final,Tarjetas rojas_local_final,Tarjetas amarillas_local_final,Pases totales_local_final,Tackles_local_final,Ataques_local_final,Ataques peligrosos_local_final,Posesión de balón_visita_final,Remates_visita_final,Remates a puerta_visita_final,Remates fuera_visita_final,Remates rechazados_visita_final,Córneres_visita_final,Fueras de juego_visita_final,Paradas_visita_final,Faltas_visita_final,Tarjetas rojas_visita_final,Tarjetas amarillas_visita_final,Pases totales_visita_final,Tackles_visita_final,Ataques_visita_final,Ataques peligrosos_visita_final,Posesión de balón_local_1T,Remates_local_1T,Remates a puerta_local_1T,Remates fuera_local_1T,Remates rechazados_local_1T,Córneres_local_1T,Fueras de juego_local_1T,Paradas_local_1T,Faltas_local_1T,Tarjetas amarillas_local_1T,Pases totales_local_1T,Tackles_local_1T,Ataques_local_1T,Ataques peligrosos_local_1T,Posesión de balón_visita_1T,Remates_visita_1T,Remates a puerta_visita_1T,Remates fuera_visita_1T,Remates rechazados_visita_1T,Córneres_visita_1T,Fueras de juego_visita_1T,Paradas_visita_1T,Faltas_visita_1T,Tarjetas amarillas_visita_1T,Pases totales_visita_1T,Tackles_visita_1T,Ataques_visita_1T,Ataques peligrosos_visita_1T,Posesión de balón_local_2T,Remates_local_2T,Remates a puerta_local_2T,Remates fuera_local_2T,Remates rechazados_local_2T,Córneres_local_2T,Fueras de juego_local_2T,Paradas_local_2T,Faltas_local_2T,Tarjetas rojas_local_2T,Tarjetas amarillas_local_2T,Pases totales_local_2T,Tackles_local_2T,Ataques_local_2T,Ataques peligrosos_local_2T,Posesión de balón_visita_2T,Remates_visita_2T,Remates a puerta_visita_2T,Remates fuera_visita_2T,Remates rechazados_visita_2T,Córneres_visita_2T,Fueras de juego_visita_2T,Paradas_visita_2T,Faltas_visita_2T,Tarjetas rojas_visita_2T,Tarjetas amarillas_visita_2T,Pases totales_visita_2T,Tackles_visita_2T,Ataques_visita_2T,Ataques peligrosos_visita_2T,año,Tarjetas rojas_local_1T,Tarjetas rojas_visita_1T,Pases completados_local_final,Pases completados_visita_final,Pases completados_local_1T,Pases completados_visita_1T,Pases completados_local_2T,Pases completados_visita_2T,Tiros libres_local_final,Tiros libres_visita_final,Tiros libres_local_1T,Tiros libres_visita_1T,Tiros libres_local_2T,Tiros libres_visita_2T,Saques de banda_local_final,Saques de banda_visita_final,Saques de banda_local_2T,Saques de banda_visita_2T,Saques de banda_local_1T,Saques de banda_visita_1T
0,52%,12,3,6,3,5,5,5,8,0,3,464,10,121,79,48%,16,6,5,5,8,0,1,8,1,3,413,9,128,80,50%,3,2,1,0,1,0,0,3,3,241,7,61,28,50%,7,1,4,2,3,0,0,6,2,243,4,62,39,54%,9,1,5,3,4,5,5,5,,0,223,3,60,51,46%,9,5,1,3,5,0,1,2,,1,170,5,66,41,2021,0,1,,,,,,,,,,,,,,,,,,
0,56%,7,3,4,0,4,2,3,15,,2,299,13,83,47,44%,7,3,1,3,4,2,3,15,,1,242,11,75,45,56%,4,1,3,0,1,0,1,10,1,163,9,45,26,44%,4,1,1,2,2,1,1,10,1,129,7,40,21,56%,3,2,1,0,3,2,2,5,,1,136,4,38,21,44%,3,2,0,1,2,1,2,5,,0,113,4,35,24,2021,,,,,,,,,,,,,,,,,,,,
0,48%,11,7,4,0,6,2,2,13,,1,409,14,108,71,52%,7,2,4,1,5,2,4,7,,3,446,9,123,74,50%,3,1,2,0,6,2,0,6,0,219,7,53,32,50%,1,0,0,1,1,1,1,3,1,216,5,62,25,46%,8,6,2,0,0,0,2,7,,1,190,7,55,39,54%,6,2,4,0,4,1,3,4,,2,230,4,61,49,2021,,,,,,,,,,,,,,,,,,,,
0,51%,15,5,8,2,6,2,1,15,,2,430,13,116,70,49%,12,4,7,1,4,2,4,13,,2,421,22,132,79,45%,5,0,4,1,1,1,0,7,1,211,12,53,27,55%,4,1,3,0,3,2,0,5,1,265,14,80,45,57%,10,5,4,1,5,1,1,8,,1,219,1,63,43,43%,8,3,4,1,1,0,4,8,,1,156,8,52,34,2021,,,,,,,,,,,,,,,,,,,,
0,48%,9,2,3,4,7,3,4,16,,0,346,19,115,80,52%,15,4,8,3,5,0,2,5,,1,396,11,121,72,44%,5,1,1,3,3,2,2,6,,165,7,53,33,56%,8,2,5,1,3,0,1,4,,206,5,57,28,52%,4,1,2,1,4,1,2,10,,0,181,12,62,47,48%,7,2,3,2,2,0,1,1,,1,190,6,64,44,2021,,,,,,,,,,,,,,,,,,,,
0,47%,13,4,6,3,9,2,5,15,1,3,283,15,111,87,53%,17,8,6,3,4,0,3,12,0,3,319,8,123,72,48%,7,4,1,2,3,1,4,8,2,140,4,55,34,52%,8,5,1,2,2,0,3,6,2,145,4,58,37,46%,6,0,5,1,6,1,1,7,1,1,143,11,56,53,54%,9,3,5,1,2,0,0,6,0,1,174,4,65,35,2021,,,,,,,,,,,,,,,,,,,,
0,57%,18,7,6,5,6,1,4,12,,1,497,18,128,83,43%,11,5,5,1,1,0,6,12,,1,368,21,123,67,65%,7,3,2,2,1,1,2,7,,325,6,68,37,35%,4,2,1,1,1,0,3,8,,171,11,54,25,49%,11,4,4,3,5,0,2,5,,1,172,12,60,46,51%,7,3,4,0,0,0,3,4,,1,197,10,69,42,2021,,,,,,,,,,,,,,,,,,,,
0,56%,5,2,1,2,0,1,3,19,,2,427,18,98,53,44%,14,5,6,3,5,1,1,14,,2,323,19,84,77,54%,3,1,1,1,0,0,2,11,1,214,5,54,27,46%,9,3,3,3,2,1,1,8,1,171,8,37,37,58%,2,1,0,1,0,1,1,8,,1,213,13,44,26,42%,5,2,3,0,3,0,0,6,,1,152,11,47,40,2021,,,,,,,,,,,,,,,,,,,,
0,44%,10,1,6,3,5,3,2,19,,0,378,18,141,95,56%,10,3,5,2,1,4,1,12,,1,507,10,145,71,42%,5,1,2,2,5,2,0,9,,161,9,63,51,58%,3,0,3,0,0,2,1,8,,236,6,61,31,46%,5,0,4,1,0,1,2,10,,0,217,9,78,44,54%,7,3,2,2,1,2,0,4,,1,271,4,84,40,2021,,,,,,,,,,,,,,,,,,,,
0,53%,12,3,5,4,8,1,2,15,,1,420,18,111,71,47%,15,4,9,2,8,2,1,9,,2,372,14,110,75,48%,8,2,3,3,5,0,0,6,1,195,8,45,34,52%,9,1,6,2,4,0,0,4,0,211,9,49,33,58%,4,1,2,1,3,1,2,9,,0,225,10,66,37,42%,6,3,3,0,4,2,1,5,,2,161,5,61,42,2021,,,,,,,,,,,,,,,,,,,,
0,54%,13,5,6,2,2,1,5,12,,2,373,12,111,70,46%,17,9,6,2,3,0,3,9,,4,314,13,108,59,50%,6,1,4,1,1,0,2,6,1,199,6,60,37,50%,7,4,2,1,1,0,1,2,1,194,4,67,29,58%,7,4,2,1,1,1,3,6,,1,174,6,51,33,42%,10,5,4,1,2,0,2,7,,3,120,9,41,30,2021,,,,,,,,,,,,,,,,,,,,
