Posesión de balón_local_final,Remates_local_final,Remates a puerta_local_final,Remates fuera_local_final,Remates rechazados_local_final,Córneres_local_final,Fueras de juego_local_final,Paradas_local_final,Faltas_local_final,Tarjetas amarillas_local_final,Pases totales_local_final,Pases completados_local_final,Tackles_local_final,Ataques_local_final,Ataques peligrosos_local_final,Posesión de balón_visita_final,Remates_visita_final,Remates a puerta_visita_final,Remates fuera_visita_final,Remates rechazados_visita_final,Córneres_visita_final,Fueras de juego_visita_final,Paradas_visita_final,Faltas_visita_final,Tarjetas amarillas_visita_final,Pases totales_visita_final,Pases completados_visita_final,Tackles_visita_final,Ataques_visita_final,Ataques peligrosos_visita_final,Posesión de balón_local_1T,Remates_local_1T,Remates a puerta_local_1T,Remates fuera_local_1T,Remates rechazados_local_1T,Córneres_local_1T,Fueras de juego_local_1T,Paradas_local_1T,Faltas_local_1T,Tarjetas amarillas_local_1T,Pases totales_local_1T,Pases completados_local_1T,Tackles_local_1T,Ataques_local_1T,Ataques peligrosos_local_1T,Posesión de balón_visita_1T,Remates_visita_1T,Remates a puerta_visita_1T,Remates fuera_visita_1T,Remates rechazados_visita_1T,Córneres_visita_1T,Fueras de juego_visita_1T,Paradas_visita_1T,Faltas_visita_1T,Tarjetas amarillas_visita_1T,Pases totales_visita_1T,Pases completados_visita_1T,Tackles_visita_1T,Ataques_visita_1T,Ataques peligrosos_visita_1T,Posesión de balón_local_2T,Remates_local_2T,Remates a puerta_local_2T,Remates fuera_local_2T,Remates rechazados_local_2T,Córneres_local_2T,Fueras de juego_local_2T,Paradas_local_2T,Faltas_local_2T,Tarjetas amarillas_local_2T,Pases totales_local_2T,Pases completados_local_2T,Tackles_local_2T,Ataques_local_2T,Ataques peligrosos_local_2T,Posesión de balón_visita_2T,Remates_visita_2T,Remates a puerta_visita_2T,Remates fuera_visita_2T,Remates rechazados_visita_2T,Córneres_visita_2T,Fueras de juego_visita_2T,Paradas_visita_2T,Faltas_visita_2T,Tarjetas amarillas_visita_2T,Pases totales_visita_2T,Pases completados_visita_2T,Tackles_visita_2T,Ataques_visita_2T,Ataques peligrosos_visita_2T,Tarjetas rojas_local_final,Tarjetas rojas_visita_final,Tarjetas rojas_local_1T,Tarjetas rojas_visita_1T,Tarjetas rojas_local_2T,Tarjetas rojas_visita_2T,Tiros libres_local_final,Saques de banda_local_final,Tiros libres_visita_final,Saques de banda_visita_final,Tiros libres_local_1T,Saques de banda_local_1T,Tiros libres_visita_1T,Saques de banda_visita_1T,Tiros libres_local_2T,Saques de banda_local_2T,Tiros libres_visita_2T,Saques de banda_visita_2T
52%,20,5,9,6,4,4,3,14,3,395,287,14,133,86,48%,12,3,6,3,2,0,5,14,2,385,250,14,117,62,49%,10,2,4,4,2,3,1,6,2.0,184,130,8,60,39,51%,5,1,2,2,2,0,2,6,1.0,198,133,8,56,29,55%,10,3,5,2,2,1,2,8,1.0,211,157,6,73,47,45%,7,2,4,1,0,0,3,8,1.0,187,117,6,61,33,,,,,,,,,,,,,,,,,,
60%,12,3,7,2,4,2,2,14,2,394,292,7,123,78,40%,8,4,2,2,4,5,2,10,3,258,144,16,98,61,62%,6,0,5,1,2,1,1,3,0.0,217,161,4,64,42,38%,7,3,2,2,3,3,0,4,1.0,130,75,8,49,32,58%,6,3,2,1,2,1,1,11,2.0,177,131,3,59,36,42%,1,1,0,0,1,2,2,6,2.0,128,69,8,49,29,,,,,,,,,,,,,,,,,,
61%,14,7,5,2,8,4,1,10,1,540,467,14,103,51,39%,12,1,9,2,6,0,6,8,2,325,249,14,82,51,68%,7,3,3,1,4,2,0,3,0.0,293,260,7,59,31,32%,6,0,5,1,3,0,3,5,1.0,129,96,7,29,19,54%,7,4,2,1,4,2,1,7,1.0,247,207,7,44,20,46%,6,1,4,1,3,0,3,3,1.0,196,153,7,53,32,,,,,,,,,,,,,,,,,,
52%,17,9,7,1,4,1,3,14,4,418,344,21,108,42,48%,11,4,5,2,3,2,8,8,2,384,295,17,107,33,53%,8,6,1,1,1,1,3,6,1.0,249,208,12,58,18,47%,5,3,2,0,1,0,6,2,0.0,219,168,9,60,16,51%,9,3,6,0,3,0,0,8,3.0,169,136,9,50,24,49%,6,1,3,2,2,2,2,6,2.0,165,127,8,47,17,,,,,,,,,,,,,,,,,,
54%,7,5,1,1,3,3,5,14,5,391,265,14,78,42,46%,12,7,5,0,3,1,5,11,2,323,213,11,96,40,51%,3,2,1,0,1,2,2,7,1.0,177,116,7,28,14,49%,5,3,2,0,2,0,2,3,0.0,164,100,3,45,20,57%,4,3,0,1,2,1,3,7,4.0,214,149,7,50,28,43%,7,4,3,0,1,1,3,8,2.0,159,113,8,51,20,,,,,,,,,,,,,,,,,,
63%,18,4,8,6,10,0,4,12,2,449,345,20,128,79,37%,14,5,7,2,1,1,4,15,4,269,154,33,88,38,61%,5,1,2,2,5,0,1,7,1.0,218,167,9,56,35,39%,7,2,3,2,1,1,1,4,1.0,140,80,11,45,17,66%,13,3,6,4,5,0,3,5,1.0,231,178,11,72,44,34%,7,3,4,0,0,0,3,11,3.0,129,74,22,43,21,,,,,,,,,,,,,,,,,,
55%,16,6,7,3,5,1,2,11,3,435,343,15,139,64,45%,10,4,5,1,5,0,4,8,1,353,249,13,108,46,56%,9,3,4,2,2,0,1,5,1.0,234,190,9,64,36,44%,4,2,2,0,3,0,2,6,1.0,179,131,7,49,25,54%,7,3,3,1,3,1,1,6,2.0,201,153,6,75,28,46%,6,2,3,1,2,0,2,2,0.0,174,118,6,59,21,,,,,,,,,,,,,,,,,,
45%,12,1,5,6,6,5,1,12,2,349,257,14,113,86,55%,9,2,5,2,1,2,1,16,1,428,311,27,116,53,43%,5,0,3,2,2,3,0,6,,169,127,4,53,32,57%,4,0,2,2,1,1,0,7,,219,155,16,52,29,47%,7,1,2,4,4,2,1,6,2.0,180,130,10,60,54,53%,5,2,3,0,0,1,1,9,1.0,209,156,11,64,24,,,,,,,,,,,,,,,,,,
49%,10,6,1,3,0,1,5,9,1,394,305,16,103,40,51%,15,5,8,2,7,0,4,17,4,400,320,11,108,80,59%,5,3,0,2,0,1,2,4,1.0,220,177,7,52,21,41%,5,2,3,0,1,0,2,10,1.0,149,112,5,47,28,39%,5,3,1,1,0,0,3,5,0.0,174,128,9,51,19,61%,10,3,5,2,6,0,2,7,3.0,251,208,6,61,52,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,
45%,13,8,3,2,5,1,5,15,3,414,323,24,98,73,55%,24,9,7,8,1,2,8,10,0,517,437,27,117,68,52%,8,5,2,1,4,0,4,5,2.0,217,167,10,49,40,48%,13,6,4,3,0,1,5,3,0.0,205,163,8,53,33,38%,5,3,1,1,1,1,1,10,1.0,197,156,14,49,33,62%,11,3,3,5,1,1,3,7,0.0,312,274,19,64,35,,,,,,,,,,,,,,,,,,
44%,11,4,4,3,8,1,6,11,2,374,255,14,136,54,56%,16,7,8,1,4,2,3,8,0,469,365,14,142,68,48%,7,3,2,2,5,0,2,4,,202,145,4,70,30,52%,6,2,3,1,2,2,2,6,,215,168,6,62,24,38%,4,1,2,1,3,1,4,7,2.0,172,110,10,66,24,62%,10,5,5,0,2,0,1,2,0.0,254,197,8,80,44,,,,,,,,,,,,,,,,,,
56%,16,4,9,3,7,2,2,14,5,313,230,9,98,64,45%,11,2,5,4,10,1,3,14,5,242,143,14,97,73,66%,13,4,6,3,6,1,1,6,2.0,210,167,5,61,47,34%,6,1,3,2,1,1,3,7,2.0,110,63,8,47,24,45%,3,0,3,0,1,1,1,8,3.0,103,63,4,37,17,55%,5,1,2,2,9,0,0,7,3.0,132,80,6,50,49,,,,,,,,,,,,,,,,,,
37%,10,2,3,5,8,2,2,6,1,348,262,25,119,48,63%,14,2,11,1,3,4,0,9,4,589,498,25,175,58,40%,6,1,2,3,6,0,1,3,1.0,183,140,14,57,27,60%,5,1,3,1,1,1,0,4,2.0,281,236,12,82,25,34%,4,1,1,2,2,2,1,3,0.0,165,122,11,62,21,66%,9,1,8,0,2,3,0,5,2.0,308,262,13,93,33,,,,,,,,,,,,,,,,,,
48%,20,9,7,4,5,4,4,8,2,362,278,17,96,75,52%,13,4,6,3,10,0,5,8,2,387,300,15,89,69,56%,10,5,3,2,4,0,1,3,,221,179,9,58,46,44%,1,1,0,0,3,0,2,3,,170,124,10,39,30,39%,10,4,4,2,1,4,3,5,2.0,141,99,8,38,29,61%,12,3,6,3,7,0,3,5,2.0,217,176,5,50,39,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,
52%,14,6,5,3,9,1,0,5,2,454,364,10,144,72,48%,5,2,1,2,4,2,4,13,3,436,349,16,95,36,50%,5,1,3,1,5,1,0,3,2.0,224,183,4,70,42,50%,3,2,0,1,2,0,1,4,2.0,226,184,8,52,22,54%,9,5,2,2,4,0,0,2,0.0,230,181,6,74,30,46%,2,0,1,1,2,2,3,9,1.0,210,165,8,43,14,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
53%,8,0,3,5,5,1,2,14,1,394,261,32,127,61,47%,17,2,10,5,7,2,0,13,4,347,232,25,113,76,55%,6,0,3,3,2,1,0,8,1.0,200,138,12,63,28,45%,1,0,1,0,0,1,0,7,2.0,163,102,12,52,24,51%,2,0,0,2,3,0,2,6,0.0,194,123,20,64,33,49%,16,2,9,5,7,1,0,6,2.0,184,130,13,61,52,,,,,,,,,,,,,,,,,,
71%,13,5,4,4,1,8,2,11,2,512,434,28,156,67,29%,12,5,5,2,1,0,3,11,3,212,141,10,113,33,66%,4,1,1,2,0,3,2,5,1.0,232,204,16,59,19,34%,8,5,1,2,1,0,1,6,1.0,111,79,5,51,17,76%,9,4,3,2,1,5,0,6,1.0,280,230,12,97,48,24%,4,0,4,0,0,0,2,5,2.0,101,62,5,62,16,,,,,,,,,,,,,,,,,,
48%,11,4,6,1,5,2,3,8,2,450,320,21,142,46,52%,13,4,6,3,5,2,2,16,5,479,363,19,171,60,47%,6,1,5,0,1,2,2,4,1.0,226,162,11,67,19,53%,4,3,0,1,3,1,1,5,0.0,245,189,10,91,32,49%,5,3,1,1,4,0,1,4,1.0,224,158,10,75,27,51%,9,1,6,2,2,1,1,11,5.0,234,174,9,80,28,,,,,,,,,,,,,,,,,,
62%,11,3,5,3,4,2,4,11,2,471,404,14,124,62,38%,11,4,6,1,4,0,2,10,4,279,217,12,92,43,64%,3,2,1,0,0,2,3,7,0.0,277,242,8,70,24,36%,8,3,4,1,3,0,2,3,3.0,147,113,6,48,25,60%,8,1,4,3,4,0,1,4,2.0,194,162,6,54,38,40%,3,1,2,0,1,0,0,7,1.0,132,104,6,44,18,,,,,,,,,,,,,,,,,,
37%,12,3,4,5,4,2,1,13,3,265,166,27,149,56,63%,8,1,6,1,1,1,2,7,1,476,356,20,158,57,37%,1,0,0,1,0,1,1,5,0.0,144,91,20,82,25,63%,3,1,2,0,0,1,0,4,1.0,259,205,8,75,24,37%,11,3,4,4,4,1,0,8,3.0,121,75,7,67,31,63%,5,0,4,1,1,0,2,3,0.0,217,151,12,83,33,,,,,,,,,,,,,,,,,,
38%,5,0,2,3,2,1,3,13,3,273,173,16,114,37,62%,14,4,8,2,5,4,0,12,2,440,362,18,155,62,39%,3,0,1,2,2,0,0,8,2.0,137,92,11,62,22,61%,4,0,3,1,2,0,0,7,1.0,219,174,11,71,28,37%,2,0,1,1,0,1,3,5,1.0,136,81,5,52,15,63%,10,4,5,1,3,4,0,5,1.0,221,188,7,84,34,,,,,,,,,,,,,,,,,,
37%,22,8,9,5,6,1,3,12,1,293,219,15,113,75,63%,10,6,3,1,4,2,8,11,1,525,452,13,133,56,40%,10,3,4,3,2,1,0,7,0.0,161,119,8,61,34,60%,3,1,1,1,2,2,3,7,1.0,245,203,10,72,27,34%,12,5,5,2,4,0,3,5,1.0,132,100,7,52,41,66%,7,5,2,0,2,0,5,4,0.0,280,249,3,61,29,,,,,,,,,,,,,,,,,,
41%,15,4,5,6,4,1,6,15,3,318,220,28,136,55,59%,13,7,5,1,4,2,2,10,4,467,371,22,121,56,47%,3,1,1,1,3,0,0,4,2.0,204,145,11,80,28,53%,3,0,3,0,1,1,0,4,0.0,229,189,11,58,24,35%,12,3,4,5,1,1,6,11,1.0,114,75,17,56,27,65%,10,7,2,1,3,1,2,6,4.0,238,182,11,63,32,,,,,,,,,,,,,,,,,,
54%,22,8,11,3,1,0,0,12,3,426,328,12,144,55,46%,9,0,7,2,4,1,4,15,2,360,253,17,127,52,52%,8,3,5,0,1,0,0,8,2.0,226,164,8,79,34,48%,5,0,4,1,1,0,2,6,0.0,211,151,10,84,25,56%,14,5,6,3,0,0,0,4,1.0,200,164,4,65,21,44%,4,0,3,1,3,1,2,9,2.0,149,102,7,43,27,,,,,,,,,,,,,,,,,,
61%,16,4,8,4,7,0,1,7,2,560,488,14,144,79,39%,23,3,15,5,8,0,3,6,1,351,276,22,110,66,61%,11,3,5,3,3,0,1,5,1.0,379,332,6,85,38,39%,12,1,9,2,6,0,2,2,0.0,227,179,13,74,45,61%,5,1,3,1,4,0,0,2,1.0,181,156,8,59,41,39%,11,2,6,3,2,0,1,4,1.0,124,97,9,36,21,,,,,,,,,,,,,,,,,,
59%,10,4,3,3,9,4,3,14,4,406,296,21,141,73,41%,10,3,5,2,1,1,3,11,3,276,174,15,132,50,56%,3,1,1,1,0,3,1,3,1.0,226,164,15,72,23,44%,5,1,2,2,0,1,1,7,1.0,171,112,6,78,22,62%,7,3,2,2,9,1,2,11,3.0,180,132,6,69,50,38%,5,2,3,0,1,0,2,4,2.0,105,62,9,54,28,,,,,,,,,,,,,,,,,,
58%,12,4,6,2,6,0,3,11,3,408,307,28,150,91,42%,13,4,7,2,4,0,4,18,5,311,210,25,128,53,61%,8,2,5,1,1,0,0,5,1.0,204,159,18,77,33,39%,5,1,4,0,1,0,2,11,0.0,135,84,18,59,19,55%,4,2,1,1,5,0,3,6,2.0,204,148,10,73,58,45%,8,3,3,2,3,0,2,7,5.0,176,126,7,69,34,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,
59%,9,4,3,2,2,1,3,16,3,419,311,12,134,56,41%,10,4,6,0,7,3,3,21,3,274,170,17,133,68,62%,2,1,0,1,0,0,1,9,1.0,245,185,9,68,28,38%,4,1,3,0,4,0,0,12,1.0,141,90,11,66,30,56%,7,3,3,1,2,1,2,7,2.0,174,126,3,66,28,44%,6,3,3,0,3,3,3,9,2.0,133,80,6,67,38,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,
61%,16,9,5,2,2,1,3,18,1,476,372,26,125,50,39%,12,4,5,3,2,3,6,9,2,300,199,15,140,71,52%,7,4,2,1,0,0,1,7,0.0,216,157,15,61,16,48%,9,1,5,3,1,2,3,5,2.0,189,129,3,82,45,70%,9,5,3,1,2,1,2,11,1.0,260,215,11,64,34,30%,3,3,0,0,1,1,3,4,0.0,111,70,12,58,26,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
50%,17,2,9,6,9,1,1,18,1,419,325,25,168,88,50%,3,1,1,1,3,0,1,14,1,420,330,15,130,43,53%,10,0,6,4,6,1,1,10,1.0,235,193,14,89,49,47%,2,1,0,1,1,0,0,8,0.0,217,175,10,58,15,47%,7,2,3,2,3,0,0,8,0.0,184,132,11,79,39,53%,1,0,1,0,2,0,1,6,1.0,203,155,5,72,28,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
43%,13,7,4,2,5,2,1,17,4,287,217,18,90,63,57%,7,2,1,4,1,2,4,17,4,404,318,26,80,38,48%,7,2,3,2,3,1,1,7,2.0,150,117,3,38,34,52%,4,1,0,3,1,0,1,11,3.0,171,134,12,41,14,38%,6,5,1,0,2,1,0,10,2.0,137,100,15,52,29,62%,3,1,1,1,0,2,3,6,1.0,233,184,14,39,24,0.0,2.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,
64%,7,3,2,2,4,2,2,9,4,511,435,16,117,74,36%,18,4,11,3,2,1,1,19,5,285,213,23,87,46,58%,3,1,1,1,2,0,2,4,,249,208,7,48,31,42%,11,3,6,2,2,0,0,6,,178,139,12,52,31,70%,4,2,1,1,2,2,0,5,4.0,262,227,9,69,43,30%,7,1,5,1,0,1,1,13,5.0,107,74,11,35,15,,,,,,,,,,,,,,,,,,
66%,21,7,12,2,11,1,0,8,1,503,392,17,117,91,34%,7,4,2,1,4,0,4,14,5,262,159,24,89,37,62%,6,3,1,2,2,0,0,5,0.0,251,197,10,57,30,38%,6,3,2,1,4,0,2,9,1.0,151,99,13,47,27,70%,15,4,11,0,9,1,0,3,1.0,252,195,7,60,61,30%,1,1,0,0,0,0,2,5,4.0,111,60,11,42,10,,,,,,,,,,,,,,,,,,
68%,14,6,3,5,8,1,2,13,3,620,550,24,157,75,32%,8,3,3,2,1,0,4,16,3,292,218,26,114,45,70%,6,2,2,2,5,0,2,7,2.0,334,306,16,70,33,30%,3,2,1,0,0,0,1,8,1.0,137,104,13,54,21,66%,8,4,1,3,3,1,0,6,1.0,286,244,8,87,42,34%,5,1,2,2,1,0,3,8,2.0,155,114,13,60,24,,,,,,,,,,,,,,,,,,
70%,25,6,11,8,8,4,4,6,3,585,467,27,94,55,30%,9,4,5,0,1,1,5,10,4,256,148,20,56,15,66%,12,2,7,3,5,1,4,4,3.0,253,197,12,63,35,34%,7,4,3,0,0,1,2,8,2.0,129,71,11,41,16,74%,13,4,4,5,3,3,0,2,0.0,332,270,15,31,20,26%,2,0,2,0,1,0,3,2,2.0,127,77,9,15,-1,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
52%,12,6,3,3,8,0,5,10,4,366,267,15,146,67,48%,19,6,6,7,8,1,5,5,2,315,217,17,148,85,54%,5,2,2,1,3,0,1,3,2.0,205,149,8,74,32,46%,9,2,2,5,1,0,1,2,2.0,165,118,8,69,34,50%,7,4,1,2,5,0,4,7,2.0,161,118,7,72,35,50%,10,4,4,2,7,1,4,3,0.0,150,99,9,79,51,,,,,,,,,,,,,,,,,,
55%,13,8,4,1,8,2,0,9,2,391,303,19,99,47,45%,14,3,8,3,7,2,5,10,4,307,224,17,120,79,56%,8,5,3,0,3,1,0,0,1.0,189,148,11,59,30,44%,8,1,4,3,5,0,2,5,1.0,144,105,8,73,46,54%,5,3,1,1,5,1,0,9,1.0,202,155,8,40,17,46%,6,2,4,0,2,2,3,5,3.0,163,119,9,47,33,,,,,,,,,,,,,,,,,,
39%,17,4,9,4,1,0,0,11,0,328,265,14,99,47,61%,14,1,9,4,7,4,3,5,1,530,455,14,120,79,48%,8,1,5,2,0,0,0,7,,204,168,7,55,28,52%,1,0,1,0,1,4,1,1,,228,190,7,57,22,30%,9,3,4,2,1,0,0,4,0.0,124,97,7,44,19,70%,13,1,8,4,6,0,2,4,1.0,302,265,7,63,57,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
53%,16,3,10,3,7,2,2,9,5,380,281,14,99,68,47%,11,3,5,3,6,2,2,8,2,340,239,22,107,64,51%,10,2,7,1,2,1,1,3,0.0,204,146,5,57,31,49%,6,1,3,2,5,0,1,4,1.0,198,138,13,62,38,55%,6,1,3,2,5,1,1,6,5.0,176,135,9,42,37,45%,5,2,2,1,1,2,1,4,1.0,142,101,9,45,26,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,
40%,26,4,15,7,4,4,7,9,2,306,207,31,108,74,60%,11,7,2,2,7,1,4,8,1,473,368,21,111,74,45%,15,2,9,4,0,1,4,8,1.0,171,118,18,54,37,55%,5,4,0,1,2,1,2,3,0.0,214,161,6,54,32,35%,11,2,6,3,4,3,3,1,1.0,135,89,13,54,37,65%,6,3,2,1,5,0,2,5,1.0,259,207,15,57,42,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
47%,13,3,8,2,9,2,3,11,2,318,218,13,136,79,53%,9,4,2,3,2,4,1,12,4,367,269,14,120,42,43%,4,1,3,0,3,1,1,6,1.0,170,119,8,68,41,57%,4,1,2,1,2,1,1,7,1.0,219,169,9,62,20,51%,9,2,5,2,6,1,2,5,1.0,148,99,5,68,38,49%,5,3,0,2,0,3,0,5,3.0,148,100,5,58,22,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
42%,14,3,8,3,3,1,3,14,2,223,115,13,112,36,58%,11,6,3,2,2,4,2,10,4,307,188,20,136,61,37%,7,2,3,2,2,0,2,9,1.0,85,41,9,58,22,63%,6,3,2,1,2,3,1,6,2.0,151,98,14,66,32,48%,7,1,5,1,1,1,1,5,1.0,138,74,4,54,14,52%,5,3,1,1,0,1,1,4,2.0,156,90,6,70,29,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,
49%,21,6,13,2,9,0,3,9,1,436,353,18,160,86,51%,9,7,2,0,3,3,6,10,3,452,355,20,127,50,41%,7,3,3,1,4,0,3,5,0.0,190,142,12,74,32,59%,7,6,1,0,2,2,3,5,1.0,271,217,7,78,34,57%,14,3,10,1,5,0,0,4,1.0,246,211,6,86,54,43%,2,1,1,0,1,1,3,5,2.0,181,138,13,49,16,,,,,,,,,,,,,,,,,,
72%,20,5,7,8,11,1,1,8,3,567,491,5,159,115,28%,6,1,4,1,3,0,4,10,2,210,117,10,81,35,72%,11,3,4,4,6,1,0,3,1.0,280,240,3,73,59,28%,2,0,2,0,2,0,3,6,2.0,104,64,5,45,18,72%,9,2,3,4,5,0,1,5,2.0,287,251,2,86,56,28%,4,1,2,1,1,0,1,4,0.0,106,53,5,36,17,,,,,,,,,,,,,,,,,,
41%,9,4,5,0,2,3,2,10,3,326,194,18,122,40,59%,18,2,8,8,10,1,1,6,2,456,314,16,185,88,47%,3,2,1,0,2,2,0,5,1.0,180,115,14,55,24,53%,5,0,2,3,4,1,1,2,1.0,203,135,6,83,29,35%,6,2,4,0,0,1,2,5,2.0,146,79,4,67,16,65%,13,2,6,5,6,0,0,4,1.0,253,179,10,102,59,,,,,,,,,,,,,,,,,,
35%,13,5,4,4,5,1,5,18,2,185,89,13,121,69,65%,14,6,6,2,4,1,3,14,3,356,249,11,145,57,38%,10,5,2,3,4,1,5,7,0.0,100,49,8,62,39,62%,9,5,3,1,3,0,3,4,1.0,163,118,6,64,27,32%,3,0,2,1,1,0,0,11,2.0,85,40,5,59,30,68%,5,1,3,1,1,1,0,10,2.0,193,131,5,81,30,,,,,,,,,,,,,,,,,,
50%,10,4,4,2,4,2,1,8,4,373,278,19,132,61,50%,11,3,6,2,9,2,2,9,4,364,267,8,143,78,43%,5,3,1,1,1,0,0,3,3.0,175,128,10,61,23,57%,4,1,2,1,6,0,2,4,1.0,219,168,4,79,38,57%,5,1,3,1,3,2,1,5,1.0,198,150,9,71,38,43%,7,2,4,1,3,2,0,5,3.0,145,99,4,64,40,,,,,,,,,,,,,,,,,,
54%,21,8,6,7,8,0,2,12,3,401,341,7,98,73,46%,16,7,7,2,4,2,6,9,1,341,273,19,85,47,47%,11,4,3,4,3,0,0,6,1.0,188,158,6,50,29,53%,7,3,3,1,1,1,3,3,0.0,210,180,7,41,25,61%,10,4,3,3,5,0,2,6,2.0,213,183,1,48,44,39%,9,4,4,1,3,1,3,6,1.0,131,93,12,44,22,,,,,,,,,,,,,,,,,,
57%,10,4,5,1,5,2,2,11,3,369,293,26,119,80,43%,15,5,5,5,3,1,3,8,1,284,201,19,97,63,57%,4,2,1,1,3,2,2,6,1.0,163,135,13,49,36,43%,9,3,4,2,3,0,1,3,0.0,128,98,9,40,26,57%,6,2,4,0,2,0,0,5,2.0,206,158,13,70,44,43%,6,2,1,3,0,1,2,5,1.0,156,103,10,57,37,,,,,,,,,,,,,,,,,,
63%,14,3,9,2,8,2,4,7,1,498,428,12,137,93,37%,14,5,5,4,7,1,3,12,3,295,220,15,107,75,62%,5,2,3,0,3,2,1,5,1.0,234,198,4,69,36,38%,6,1,3,2,6,0,2,8,2.0,137,104,7,51,37,64%,9,1,6,2,5,0,3,2,0.0,264,230,8,68,57,36%,8,4,2,2,1,1,1,4,1.0,158,116,8,56,38,,,,,,,,,,,,,,,,,,
51%,16,3,10,3,4,4,3,17,3,334,239,25,140,68,49%,10,3,5,2,4,2,2,10,2,335,232,11,138,55,51%,6,1,4,1,1,2,2,13,1.0,164,119,14,63,29,49%,6,2,2,2,3,1,1,6,1.0,159,118,6,64,32,51%,10,2,6,2,3,2,1,4,2.0,170,120,11,77,39,49%,4,1,3,0,1,1,1,4,1.0,176,114,5,74,23,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
59%,10,3,7,0,3,0,3,13,1,569,446,26,167,68,41%,13,4,6,3,2,1,3,13,1,395,291,29,149,55,61%,7,1,6,0,3,0,0,5,1.0,285,218,13,90,37,39%,4,0,4,0,1,1,1,7,0.0,174,116,16,75,23,57%,3,2,1,0,0,0,3,8,0.0,284,228,13,77,31,43%,9,4,2,3,1,0,2,6,1.0,221,175,13,74,32,,,,,,,,,,,,,,,,,,
57%,17,5,7,5,8,2,1,14,3,428,339,16,171,95,43%,8,1,6,1,4,2,4,12,2,325,229,36,98,41,59%,8,1,4,3,2,2,0,8,1.0,235,189,9,91,50,41%,2,0,2,0,0,2,1,3,0.0,170,121,10,44,12,55%,9,4,3,2,6,0,1,6,2.0,193,150,7,80,45,45%,6,1,4,1,4,0,3,9,2.0,155,108,26,54,29,,,,,,,,,,,,,,,,,,
53%,16,6,7,3,4,2,2,15,4,300,199,10,130,57,47%,9,2,6,1,4,1,4,13,2,275,171,19,123,51,55%,8,2,5,1,2,1,0,5,1.0,171,119,4,71,33,45%,3,0,3,0,2,1,2,7,0.0,145,87,11,59,24,51%,8,4,2,2,2,1,2,10,3.0,129,80,6,59,24,49%,6,2,3,1,2,0,2,6,2.0,130,84,8,64,27,,,,,,,,,,,,,,,,,,
51%,19,7,7,5,8,2,3,17,6,272,166,9,162,94,49%,10,6,2,2,2,1,5,17,6,286,180,13,121,35,45%,11,3,4,4,7,1,2,5,2.0,118,67,3,79,49,55%,7,5,1,1,0,0,3,9,1.0,159,107,8,57,14,56%,8,4,3,1,1,1,1,12,4.0,154,99,6,83,45,44%,3,1,1,1,2,1,2,8,5.0,127,73,5,64,21,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
58%,17,8,7,2,3,0,3,17,2,499,409,15,90,49,42%,16,5,6,5,4,4,5,8,3,335,274,23,88,62,63%,6,3,3,0,2,0,0,9,,290,252,5,49,25,37%,7,1,4,2,1,3,2,3,,162,136,13,40,24,53%,11,5,4,2,1,0,3,8,2.0,209,157,10,41,24,47%,9,4,2,3,3,1,3,5,3.0,173,138,10,48,38,,,,,,,,,,,,,,,,,,
57%,18,6,8,4,6,1,4,17,3,333,235,8,133,82,43%,14,6,6,2,7,1,5,11,2,253,143,25,131,79,58%,8,2,4,2,2,1,2,9,2.0,169,121,4,69,43,42%,8,3,4,1,2,1,2,7,0.0,119,66,10,64,37,56%,10,4,4,2,4,0,2,8,1.0,164,114,4,64,39,44%,6,3,2,1,5,0,3,4,2.0,134,77,15,67,42,,,,,,,,,,,,,,,,,,
43%,19,6,10,3,6,1,3,6,2,359,281,15,134,77,57%,14,5,9,0,4,1,3,10,2,477,380,20,142,68,43%,8,1,6,1,1,0,2,2,1.0,168,133,7,57,27,57%,7,4,3,0,3,1,1,5,1.0,226,187,10,65,36,43%,11,5,4,2,5,1,1,4,1.0,191,148,8,77,50,57%,7,1,6,0,1,0,2,5,1.0,251,193,10,77,32,,,,,,,,,,,,,,,,,,
48%,16,6,6,4,7,3,5,16,2,406,299,21,158,73,52%,14,6,6,2,1,2,6,14,3,451,339,20,141,49,43%,9,2,3,4,3,1,2,9,0.0,209,162,9,70,37,57%,8,2,4,2,0,1,2,4,2.0,277,221,12,76,28,53%,7,4,3,0,4,2,3,7,2.0,197,137,12,88,36,47%,6,4,2,0,1,1,4,10,1.0,174,118,8,65,21,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
