Posesión de balón_local_final,Remates_local_final,Remates a puerta_local_final,Remates fuera_local_final,Remates rechazados_local_final,Córneres_local_final,Fueras de juego_local_final,Paradas_local_final,Faltas_local_final,Tarjetas amarillas_local_final,Pases totales_local_final,Pases completados_local_final,Tackles_local_final,Ataques_local_final,Ataques peligrosos_local_final,Posesión de balón_visita_final,Remates_visita_final,Remates a puerta_visita_final,Remates fuera_visita_final,Remates rechazados_visita_final,Córneres_visita_final,Fueras de juego_visita_final,Paradas_visita_final,Faltas_visita_final,Tarjetas amarillas_visita_final,Pases totales_visita_final,Pases completados_visita_final,Tackles_visita_final,Ataques_visita_final,Ataques peligrosos_visita_final,Posesión de balón_local_1T,Remates_local_1T,Remates a puerta_local_1T,Remates fuera_local_1T,Remates rechazados_local_1T,Córneres_local_1T,Fueras de juego_local_1T,Paradas_local_1T,Faltas_local_1T,Tarjetas amarillas_local_1T,Pases totales_local_1T,Pases completados_local_1T,Tackles_local_1T,Ataques_local_1T,Ataques peligrosos_local_1T,Posesión de balón_visita_1T,Remates_visita_1T,Remates a puerta_visita_1T,Remates fuera_visita_1T,Remates rechazados_visita_1T,Córneres_visita_1T,Fueras de juego_visita_1T,Paradas_visita_1T,Faltas_visita_1T,Tarjetas amarillas_visita_1T,Pases totales_visita_1T,Pases completados_visita_1T,Tackles_visita_1T,Ataques_visita_1T,Ataques peligrosos_visita_1T,Posesión de balón_local_2T,Remates_local_2T,Remates a puerta_local_2T,Remates fuera_local_2T,Remates rechazados_local_2T,Córneres_local_2T,Fueras de juego_local_2T,Paradas_local_2T,Faltas_local_2T,Tarjetas amarillas_local_2T,Pases totales_local_2T,Pases completados_local_2T,Tackles_local_2T,Ataques_local_2T,Ataques peligrosos_local_2T,Posesión de balón_visita_2T,Remates_visita_2T,Remates a puerta_visita_2T,Remates fuera_visita_2T,Remates rechazados_visita_2T,Córneres_visita_2T,Fueras de juego_visita_2T,Paradas_visita_2T,Faltas_visita_2T,Tarjetas amarillas_visita_2T,Pases totales_visita_2T,Pases completados_visita_2T,Tackles_visita_2T,Ataques_visita_2T,Ataques peligrosos_visita_2T,Tarjetas rojas_local_final,Tarjetas rojas_visita_final,Tarjetas rojas_local_1T,Tarjetas rojas_visita_1T,Tarjetas rojas_local_2T,Tarjetas rojas_visita_2T,Tiros libres_local_final,Saques de banda_local_final,Tiros libres_visita_final,Saques de banda_visita_final,Tiros libres_local_1T,Saques de banda_local_1T,Tiros libres_visita_1T,Saques de banda_visita_1T,Tiros libres_local_2T,Saques de banda_local_2T,Tiros libres_visita_2T,Saques de banda_visita_2T
52%,12,3,6,3,1,1,6,7,4,418,308,15,142,70,48%,15,9,5,1,4,2,1,10,5,385,276,24,150,79,54%,5,1,4,0,1,0,4,3,1.0,232,176,8,70,31,46%,8,5,2,1,3,2,0,3,2.0,198,138,8,77,48,50%,7,2,2,3,0,1,2,4,3.0,186,132,7,72,39,50%,7,4,3,0,1,0,1,7,3.0,187,138,16,73,31,,,,,,,,,,,,,,,,,,
35%,12,6,4,2,4,2,2,15,4,275,196,11,89,51,65%,17,3,6,8,3,0,3,9,1,516,449,8,165,73,37%,4,2,2,0,1,2,1,8,1.0,142,99,7,48,26,63%,6,2,2,2,1,0,0,5,1.0,242,207,5,79,32,33%,8,4,2,2,3,0,1,7,3.0,133,97,4,41,25,67%,11,1,4,6,2,0,3,4,0.0,274,242,3,86,41,,,,,,,,,,,,,,,,,,
49%,7,3,3,1,10,3,2,18,5,269,188,17,125,71,51%,8,4,2,2,3,0,1,16,4,295,217,19,124,53,52%,2,0,1,1,4,2,1,9,1.0,166,124,8,62,27,48%,6,2,2,2,2,0,0,7,1.0,158,125,11,73,26,46%,5,3,2,0,6,1,1,9,4.0,103,64,9,63,44,54%,2,2,0,0,1,0,1,9,3.0,137,92,8,51,27,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,
47%,19,8,8,3,6,1,5,7,1,279,220,20,108,79,53%,15,6,8,1,5,0,4,11,3,323,239,12,109,54,47%,13,4,7,2,5,0,2,3,1.0,143,115,13,54,40,53%,8,2,5,1,2,0,1,3,0.0,172,130,8,57,27,47%,6,4,1,1,1,1,3,4,0.0,136,105,7,54,39,53%,7,4,3,0,3,0,3,8,3.0,151,109,4,52,27,0.0,2.0,,,0.0,2.0,,,,,,,,,,,,
55%,18,5,6,7,7,2,1,7,2,421,325,11,145,90,45%,11,2,6,3,4,0,4,15,4,349,258,15,122,56,46%,6,1,3,2,3,0,1,6,2.0,170,132,3,50,25,54%,6,2,3,1,3,0,0,8,0.0,198,151,8,64,40,64%,12,4,3,5,4,2,0,1,0.0,251,193,8,95,65,36%,5,0,3,2,1,0,4,7,4.0,151,107,7,58,16,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
53%,18,2,11,5,6,1,4,12,5,390,320,14,127,70,47%,13,4,7,2,5,1,1,12,4,354,290,16,125,91,57%,8,0,6,2,2,0,1,6,0.0,232,197,9,65,36,43%,2,1,1,0,1,0,0,6,2.0,173,144,9,61,35,49%,10,2,5,3,4,1,3,6,5.0,158,123,5,62,34,51%,11,3,6,2,4,1,1,6,2.0,181,146,7,64,56,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,
38%,13,5,6,2,3,0,2,13,3,233,161,7,106,43,62%,12,4,5,3,6,2,2,13,2,371,296,13,119,69,44%,10,5,4,1,2,0,1,8,1.0,146,115,2,56,26,56%,3,1,1,1,0,0,2,8,0.0,190,152,5,50,23,32%,3,0,2,1,1,0,1,5,2.0,87,46,5,50,17,68%,9,3,4,2,6,2,0,5,2.0,181,144,8,69,46,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,
46%,10,5,2,3,2,2,4,11,5,393,310,19,119,36,54%,17,5,9,3,9,0,2,14,1,440,357,11,156,89,48%,4,2,1,1,1,0,1,3,1.0,216,177,13,63,19,52%,3,1,1,1,3,0,0,8,0.0,237,200,6,68,34,44%,6,3,1,2,1,2,3,8,4.0,177,133,6,56,17,56%,14,4,8,2,6,0,2,6,1.0,203,157,5,88,55,,,,,,,,,,,,,,,,,,
50%,8,0,6,2,5,4,2,15,3,401,330,10,133,81,50%,8,2,2,4,1,2,0,17,7,430,348,18,133,50,49%,3,0,2,1,3,4,1,6,1.0,203,173,4,61,33,51%,4,1,1,2,1,1,0,7,3.0,219,180,7,66,25,51%,5,0,4,1,2,0,1,9,2.0,198,157,6,72,48,49%,4,1,1,2,0,1,0,10,4.0,211,168,11,67,25,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,
72%,13,3,9,1,6,1,2,14,3,475,392,10,156,109,28%,10,3,7,0,3,4,3,12,2,186,108,16,102,40,69%,3,0,3,0,3,1,2,9,2.0,218,178,5,69,43,31%,7,3,4,0,3,3,0,8,1.0,96,64,6,48,26,75%,10,3,6,1,3,0,0,5,1.0,257,214,5,87,66,25%,3,0,3,0,0,1,3,4,1.0,90,44,10,54,14,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
