,Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4
1180,PRIMERA,2020-08-14,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
1184,PRIMERA,2020-08-17,AMAGGI,AEGNEM,PRADO,ZEPEDA,GOMEZ
1195,PRIMERA,2020-08-19,AEGNEM,FUENTES,ZEPEDA,MUNITA,GOMEZ
1211,PRIMERA,2020-08-21,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1220,PRIMERA,2020-08-24,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1238,PRIMERA,2020-08-20,AEGNEM,FUENTES,ZEPEDA,MUNITA,GOMEZ
1239,PRIMERA,2020-08-25,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
1252,PRIMERA,2020-08-26,AMAGGI,PRADO,ZEPEDA,LAGOS,MUNITA
1253,PRIMERA,2020-08-27,AMAGGI,PRADO,ZEPEDA,MUNITA,GOMEZ
1263,PRIMERA,2020-08-28,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1279,PRIMERA,2020-08-31,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1293,PRIMERA,2020-08-07,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1306,PRIMERA,2020-08-06,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1320,PRIMERA,2020-08-05,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1338,PRIMERA,2020-08-04,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
1355,PRIMERA,2020-08-03,AMAGGI,AEGNEM,FUENTES,PRADO,GOMEZ
1357,PRIMERA,2020-09-10,AEGNEM,FUENTES,ARANGUIZ,PRADO,MUNITA
1359,PRIMERA,2020-09-11,AEGNEM,FUENTES,ARANGUIZ,PRADO,GOMEZ
1361,PRIMERA,2020-09-14,BRITO,AMAGGI,FUENTES,ARANGUIZ,PRADO
1366,PRIMERA,2020-09-15,AMAGGI,FUENTES,ARANGUIZ,PRADO,MUNITA
1370,PRIMERA,2020-09-16,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1375,PRIMERA,2020-09-17,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1381,PRIMERA,2020-09-21,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1390,PRIMERA,2020-09-22,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
1397,PRIMERA,2020-09-23,AMAGGI,AEGNEM,FUENTES,PRADO,GOMEZ
1405,PRIMERA,2020-09-24,AEGNEM,FUENTES,PRADO,MUNITA,GOMEZ
1416,PRIMERA,2020-09-25,AMAGGI,AEGNEM,ARANGUIZ,PRADO,MUNITA
1424,PRIMERA,2020-09-28,AMAGGI,AEGNEM,FUENTES,PRADO,MUNITA
1436,PRIMERA,2020-09-29,AMAGGI,AEGNEM,FUENTES,BIEL,MUNITA
