,Fecha,Sala,Presidente,Ministros,Integrantes,Causa
11441,[' a diecinueve de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ, señor CERDA'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['subroga']
11442,[' a veintitrés de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHL.'],"[[' SEÑOR BLANCO, señora MUÑOZ, “ seÑor'], ['CERDA', '']]","[[], [' SEÑOR BARRA.']]",['feriado']
11443,[' a veinticuatro de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHI.'],"[[' SEÑOR BLANCO, señora MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES GOMEZ y ABUAUAD.'], []]","['comisión', 'feriado']"
11444,[' a veinticinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ, seÑor'], ['CERDA', '']]","[[], [' SEÑOR DE LA MAZA.']]",['feriado']
11445,[' a veintiséis de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ, seÑor'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['feriado']
11446,[' a treinta de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑORES VALDERRAMA, DAHM y Los ABOGADOS'], []]","[[' SEÑORES BARRA y DE LA MAZA.'], []]","['permiso', 'feriado']"
11447,[' a nueve de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHI'],"[[' SEÑOR BLANCO, sEÑorAS CHEVESICH,'], []]","[[], []]",[]
11448,[' a cinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora MUÑOZ y LOS ABOGADOS'], []]","[[' SEÑORES MUNITA y ABUAUAD.'], []]","['licencia', 'feriado']"
11449,[' a cuatro de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ y .os ABOGADOS'], []]","[[' SEÑORES MUNITA y ABUAUAD.'], []]","['licencia', 'feriado']"
11450,[' a cuatro de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ y .os ABOGADOS'], []]","[[' SEÑORES MUNITA y ABUAUAD.'], []]","['licencia', 'feriado']"
11451,[' a diez de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, sEÑorAS CHEVESICH,'], ['MUÑOZ', '']]","[[], [' SEÑOR QUINTANILLA.']]",['feriado']
11452,[' a once de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑoras CHEVESICH,'], ['MUÑOZ', '']]","[[], [' SEÑOR BARRA.']]",[]
11453,[' a doce de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑoras CHEVESICH,'], []]","[[], [' SEÑORA ETCHEBERRY.']]",[]
11454,[' a dieciséis de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑorsas CHEVESICH,'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['feriado']
11455,[' a diecisiete de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora CHEVESICH, sEÑor'], ['CERDA', '']]","[[], [' SEÑOR BARRA.']]",[]
11456,[' a dieciocho de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, setÑorsas CHEVESICH,'], []]","[[], []]",[]
11457,[' a diecinueve de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ, señor CERDA'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['subroga']
11458,[' a veintitrés de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHL.'],"[[' SEÑOR BLANCO, señora MUÑOZ, “ seÑor'], ['CERDA', '']]","[[], [' SEÑOR BARRA.']]",['feriado']
11459,[' a veinticuatro de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHI.'],"[[' SEÑOR BLANCO, señora MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES GOMEZ y ABUAUAD.'], []]","['comisión', 'feriado']"
11460,[' a veinticinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ, seÑor'], ['CERDA', '']]","[[], [' SEÑOR DE LA MAZA.']]",['feriado']
11461,[' a veintiséis de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ, seÑor'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['feriado']
11462,[' a treinta de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑORES VALDERRAMA, DAHM y Los ABOGADOS'], []]","[[' SEÑORES BARRA y DE LA MAZA.'], []]","['permiso', 'feriado']"
11463,[' a nueve de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHI'],"[[' SEÑOR BLANCO, sEÑorAS CHEVESICH,'], []]","[[], []]",[]
11464,[' a cinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora MUÑOZ y LOS ABOGADOS'], []]","[[' SEÑORES MUNITA y ABUAUAD.'], []]","['licencia', 'feriado']"
11465,[' a cinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora MUÑOZ y LOS ABOGADOS'], []]","[[' SEÑORES MUNITA y ABUAUAD.'], []]","['licencia', 'feriado']"
11466,[' a tres de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES QUINTANILLA y DE LA MAZA.'], []]","['permiso', 'feriado']"
11467,[' a tres de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES QUINTANILLA y DE LA MAZA.'], []]","['permiso', 'feriado']"
11468,[' a diez de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, sEÑorAS CHEVESICH,'], ['MUÑOZ', '']]","[[], [' SEÑOR QUINTANILLA.']]",['feriado']
11469,[' a once de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑoras CHEVESICH,'], ['MUÑOZ', '']]","[[], [' SEÑOR BARRA.']]",[]
11470,[' a doce de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑoras CHEVESICH,'], []]","[[], [' SEÑORA ETCHEBERRY.']]",[]
11471,[' a dieciséis de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑorsas CHEVESICH,'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['feriado']
11472,[' a diecisiete de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora CHEVESICH, sEÑor'], ['CERDA', '']]","[[], [' SEÑOR BARRA.']]",[]
11473,[' a dieciocho de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, setÑorsas CHEVESICH,'], []]","[[], []]",[]
11474,[' a diecinueve de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ, señor CERDA'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['subroga']
11475,[' a veintitrés de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHL.'],"[[' SEÑOR BLANCO, señora MUÑOZ, “ seÑor'], ['CERDA', '']]","[[], [' SEÑOR BARRA.']]",['feriado']
11476,[' a veinticuatro de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHI.'],"[[' SEÑOR BLANCO, señora MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES GOMEZ y ABUAUAD.'], []]","['comisión', 'feriado']"
11477,[' a veinticinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ, seÑor'], ['CERDA', '']]","[[], [' SEÑOR DE LA MAZA.']]",['feriado']
11478,[' a veintiséis de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ, seÑor'], []]","[[], [' SEÑORA ETCHEBERRY.']]",['feriado']
11479,[' a treinta de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑORES VALDERRAMA, DAHM y Los ABOGADOS'], []]","[[' SEÑORES BARRA y DE LA MAZA.'], []]","['permiso', 'feriado']"
11480,[' a nueve de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCHI'],"[[' SEÑOR BLANCO, sEÑorAS CHEVESICH,'], []]","[[], []]",[]
11481,[' a cinco de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora MUÑOZ y LOS ABOGADOS'], []]","[[' SEÑORES MUNITA y ABUAUAD.'], []]","['licencia', 'feriado']"
11482,[' a cuatro de abril de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, señora MUÑOZ y .os ABOGADOS'], []]","[[' SEÑORES MUNITA y ABUAUAD.'], []]","['licencia', 'feriado']"
11483,[' a tres de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES QUINTANILLA y DE LA MAZA.'], []]","['permiso', 'feriado']"
11484,[' a dos de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES QUINTANILLA y MUNITA.'], []]","['permiso', 'feriado']"
11485,[' a dos de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES QUINTANILLA y MUNITA.'], []]","['permiso', 'feriado']"
11486,[' a dos de abril de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[[' SEÑORES QUINTANILLA y MUNITA.'], []]","['permiso', 'feriado']"
11487,[' a diez de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA MUNOZ, seÑor CERDA y Los ABOGADOS'], []]","[[' SEÑORES PIERRY y GAJARDO.'], []]","['licencia', 'permiso']"
11488,[' a diez de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA MUNOZ, seÑor CERDA y Los ABOGADOS'], []]","[[' SEÑORES PIERRY y GAJARDO.'], []]","['licencia', 'permiso']"
11489,[' a diez de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA MUNOZ, seÑor CERDA y Los ABOGADOS'], []]","[[' SEÑORES PIERRY y GAJARDO.'], []]","['licencia', 'permiso']"
11490,[' a diez de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA MUNOZ, seÑor CERDA y Los ABOGADOS'], []]","[[' SEÑORES PIERRY y GAJARDO.'], []]","['licencia', 'permiso']"
11491,[' a catorce de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[["" ' SEÑOR QUINTANILLA t'yvy 1 sEÑORA""], []]","['licencia', 'subroga']"
11492,[' a catorce de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[["" ' SEÑOR QUINTANILLA t'yvy 1 sEÑORA""], []]","['licencia', 'subroga']"
11493,[' a diez de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA MUNOZ, seÑor CERDA y Los ABOGADOS'], []]","[[' SEÑORES PIERRY y GAJARDO.'], []]","['licencia', 'permiso']"
11494,[' a catorce de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[["" ' SEÑOR QUINTANILLA t'yvy 1 sEÑORA""], []]","['licencia', 'subroga']"
11495,[' a quince de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA CHEVESICH, seÑor CERDA y Los'], []]","[[' SEÑORA ETCHEBERRY y SEÑOoR'], []]",['licencia']
11496,[' a quince de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA CHEVESICH, seÑor CERDA y Los'], []]","[[' SEÑORA ETCHEBERRY y SEÑOoR'], []]",['licencia']
11497,[' a diez de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA MUNOZ, seÑor CERDA y Los ABOGADOS'], []]","[[' SEÑORES PIERRY y GAJARDO.'], []]","['licencia', 'permiso']"
11498,[' a catorce de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[["" ' SEÑOR QUINTANILLA t'yvy 1 sEÑORA""], []]","['licencia', 'subroga']"
11499,[' a dieciséis de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA CHEVESICH, seÑor CERDA y Los'], []]","[[' SEÑOR BARRA y SEÑORA'], []]",['licencia']
11500,[' a dieciséis de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA CHEVESICH, seÑor CERDA y Los'], []]","[[' SEÑOR BARRA y SEÑORA'], []]",['licencia']
11501,[' a diez de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA MUNOZ, seÑor CERDA y Los ABOGADOS'], []]","[[' SEÑORES PIERRY y GAJARDO.'], []]","['licencia', 'permiso']"
11502,[' a catorce de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORAS CHEVESICH, MUÑOZ y Los ABOGADOS'], []]","[["" ' SEÑOR QUINTANILLA t'yvy 1 sEÑORA""], []]","['licencia', 'subroga']"
11503,[' a quince de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA CHEVESICH, seÑor CERDA y Los'], []]","[[' SEÑORA ETCHEBERRY y SEÑOoR'], []]",['licencia']
11504,[' a dieciséis de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA CHEVESICH, seÑor CERDA y Los'], []]","[[' SEÑOR BARRA y SEÑORA'], []]",['licencia']
11505,[' a diecisiete de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora CHEVESICH y Los'], []]","[[' SEÑORA ETCHEBERRY y sEÑor'], []]",['subroga']
11506,[' a diecisiete de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR DOLMESTCH.'],"[[' SEÑOR BLANCO, seÑora CHEVESICH y Los'], []]","[[' SEÑORA ETCHEBERRY y sEÑor'], []]",['subroga']
11507,[' a diez de mayo de dos mil dieciocho'],CUARTA,[' SEÑOR BLANCO.'],"[[' SEÑORA MUNOZ, seÑor CERDA y Los ABOGADOS'], []]","[[' SEÑORES PIERRY y GAJARDO.'], []]","['licencia', 'permiso']"
