
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2022-01-23;49.959,17;5214189685469;51.463,70;5239063137257;52.877,84;6966418190870;49.284,66;2262780676217;49.307,00;1239641841141;49.386,36;4948247957529;50.126,68;186756279688
2022-01-24;49.633,32;5168353627856;51.125,74;5200168204604;52.506,92;6908228864008;48.955,90;2247111955914;48.978,04;1231505562631;49.109,64;4918697238207;49.807,31;185465482354
2022-01-25;49.332,20;5130156923614;50.783,84;5159140135247;52.149,20;6851285776117;48.639,49;2231863157688;48.670,31;1223895075556;48.808,75;4887911209716;49.510,55;184176133263
2022-01-26;49.337,77;5123131829053;50.784,42;5152915174822;52.139,68;6841779898363;48.622,18;2231102339895;48.691,91;1222377921716;48.820,39;4887680749676;49.491,32;183916726719
2022-01-27;49.213,26;5082497306910;50.673,30;5131737845082;52.011,27;6813132232205;48.493,94;2223212491130;48.557,56;1219171018469;48.679,75;4868920064864;49.331,83;182697505572
2022-01-28;48.707,59;4995593170119;50.186,83;5054692691709;51.512,87;6724302502575;47.994,81;2198489511089;48.094,66;1206608528112;48.171,35;4809108735538;48.835,22;179608703420
2022-01-29;48.707,59;4995593170119;50.186,83;5054692691709;51.512,87;6724302502575;47.994,81;2198489511089;48.094,66;1206608528112;48.171,35;4809108735538;48.835,22;179608703420
2022-01-30;48.707,59;4995593170119;50.186,83;5054692691709;51.512,87;6724302502575;47.994,81;2198489511089;48.094,66;1206608528112;48.171,35;4809108735538;48.835,22;179608703420
2022-01-31;49.124,72;5021845584737;50.589,53;5087594741592;51.929,40;6753572934110;48.398,25;2215060411459;48.493,29;1215525316996;48.603,85;4840320170240;49.241,97;180691931140
2022-02-01;49.293,28;5026795609277;50.737,04;5095708023168;52.092,84;6758862001671;48.577,59;2219416678898;48.644,22;1219627764439;48.819,19;4857110513828;49.455,86;179749616703
2022-02-02;49.448,71;5033115779167;50.953,81;5108810302865;52.299,41;6770867722862;48.778,59;2227302849028;48.831,53;1222645672259;49.008,69;4873682314505;49.618,75;180196152849
2022-02-03;49.750,45;5049618939036;51.276,01;5137333549120;52.622,21;6804481060733;49.100,19;2241018920004;49.139,83;1230786001514;49.327,99;4904028010127;49.919,71;180831166000
